Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_PLL,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F512_K3x3_W70,2,27462154,11658393610,ConvNet,70,1816.542372881356,378.0,0.0,4.152542372881356,92.42372881355932,48.01694915254237,25.0,50.0,41.0625,31.52380952380953,6879.050847457627,4210.016949152542,137.5084745762712,33.3,30.285714285714285,26.794117647058822,405864.0,248391.0,8113.0,563,106.4221382141113,441.1918294849023,14.410301953818827
convnet_L2_F512_K3x3_W80,2,35142154,15227289610,ConvNet,80,1847.0,378.0,0.0,3.698275862068965,94.32758620689656,51.13793103448276,25.0,50.0,40.642857142857146,31.38125,6862.258620689655,4185.275862068966,125.60344827586206,32.92857142857143,29.92,26.55172413793104,398011.0,242746.0,7285.0,474,125.62429189682001,512.1223628691984,15.369198312236287
convnet_L2_F512_K3x3_W90,2,43846154,19272038410,ConvNet,90,1888.0,378.0,0.0,3.101694915254237,91.84745762711864,45.61016949152543,25.0,50.0,40.22727272727273,31.398936170212767,6301.813559322034,3819.5593220338974,145.23728813559322,33.1764705882353,29.653846153846157,26.633333333333333,371807.0,225354.0,8569.0,355,168.5601091384887,634.8,24.138028169014085
convnet_L2_F512_K3x3_W100,2,53574154,23792640010,ConvNet,100,1934.3389830508477,378.0,0.0,4.139830508474576,96.2542372881356,48.23728813559322,25.0,50.0,40.36206896551724,31.081632653061224,6859.186440677966,4141.372881355932,171.76271186440678,32.96666666666667,29.85185185185185,26.035714285714285,404692.0,244341.0,10134.0,276,216.590301990509,885.2934782608696,36.71739130434783
convnet_L2_F1024_K3x3_W40,2,25850890,15163392010,ConvNet,40,1848.9830508474577,378.0,0.0,3.8008474576271194,95.1864406779661,56.42372881355932,25.0,50.0,42.25,32.51063829787234,7657.271186440678,4735.440677966101,159.23728813559322,34.4054054054054,31.02857142857143,27.37837837837838,451779.0,279391.0,9395.0,490,121.89512729644771,570.1857142857143,19.1734693877551
convnet_L2_F1024_K3x3_W50,2,35066890,23692800010,ConvNet,50,1883.0,378.0,0.0,3.1186440677966103,96.16949152542372,50.440677966101696,25.0,50.0,42.04166666666666,32.50568181818182,7391.084745762711,4648.35593220339,132.98305084745763,34.10344827586207,31.096774193548388,27.3,436074.0,274253.0,7846.0,286,209.2100715637207,958.9265734265734,27.433566433566433
convnet_L2_F1024_K3x3_W60,2,46330890,34117632010,ConvNet,60,1977.3275862068965,378.0,0.0,2.4956896551724137,97.53448275862068,52.25862068965517,25.0,50.0,42.95454545454545,32.78378378378378,7691.396551724138,4927.844827586207,123.03448275862068,35.03846153846154,31.5,27.516129032258064,446101.0,285815.0,7136.0,239,250.6984758377075,1195.878661087866,29.85774058577406
convnet_L2_F1024_K3x3_W70,2,59642890,46437888010,ConvNet,70,2086.4827586206898,378.0,0.0,1.887931034482759,97.17241379310344,51.98275862068966,25.0,50.0,42.642857142857146,32.7093023255814,7472.8448275862065,4768.448275862069,130.8793103448276,34.629629629629626,31.357142857142858,27.53125,433425.0,276570.0,7591.0,171,349.97364997863764,1617.3684210526317,44.39181286549707
convnet_L3_F512_K3x3_W50,3,17533962,11847680010,ConvNet,50,1771.4915254237287,444.0,0.0,3.4533898305084745,95.20338983050848,51.35593220338984,25.0,50.0,41.892857142857146,32.483695652173914,7257.8983050847455,4513.71186440678,158.4406779661017,34.333333333333336,30.8,27.347826086956523,428216.0,266309.0,9348.0,550,108.7513709068298,484.1981818181818,16.996363636363636
convnet_L3_F512_K3x3_W60,3,23165962,17060659210,ConvNet,60,1795.2203389830509,444.0,0.0,3.5720338983050848,93.67796610169492,58.983050847457626,25.0,50.0,41.72222222222222,32.48913043478261,7523.0,4606.728813559322,133.67796610169492,34.10526315789474,31.147058823529413,27.4,443857.0,271797.0,7887.0,447,132.98677444458002,608.0469798657718,17.644295302013422
