model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L2_F1024_K2x2_W50,convnet_L2_F1024_K2x2_W50.trt,321,67.30997443199158,5.221066951751709,4.76837158203125e-07,60.19858646392822,0.18640826127239477
convnet_L2_F1024_K2x2_W60,convnet_L2_F1024_K2x2_W60.trt,214,67.49414277076721,5.306264877319336,4.76837158203125e-07,60.142019510269165,0.2797442708060006
convnet_L2_F1024_K2x2_W70,convnet_L2_F1024_K2x2_W70.trt,166,68.85828518867493,5.528797149658203,9.5367431640625e-07,60.4838662147522,0.3629012050398861
convnet_L2_F1024_K2x2_W80,convnet_L2_F1024_K2x2_W80.trt,129,70.00066375732422,5.8292012214660645,7.152557373046875e-07,60.47348427772522,0.46703628052112667
convnet_L2_F1024_K2x2_W90,convnet_L2_F1024_K2x2_W90.trt,105,69.26189136505127,6.260704517364502,7.152557373046875e-07,60.351996183395386,0.5728552432287307
convnet_L2_F1024_K3x3_W40,convnet_L2_F1024_K3x3_W40.trt,490,66.30549931526184,5.406479358673096,4.76837158203125e-07,60.1988582611084,0.12194191825633147
convnet_L2_F1024_K3x3_W50,convnet_L2_F1024_K3x3_W50.trt,286,66.09997081756592,5.3335981369018555,9.5367431640625e-07,60.3068585395813,0.209755025543533
convnet_L2_F1024_K3x3_W60,convnet_L2_F1024_K3x3_W60.trt,239,65.93138837814331,5.399665832519531,7.152557373046875e-07,60.128681898117065,0.25045872532672964
convnet_L2_F1024_K3x3_W70,convnet_L2_F1024_K3x3_W70.trt,171,66.76867961883545,5.89091420173645,7.152557373046875e-07,60.229992628097534,0.3508871535808719
convnet_L2_F1024_K4x4_W30,convnet_L2_F1024_K4x4_W30.trt,324,66.31615948677063,5.718347787857056,7.152557373046875e-07,60.177475452423096,0.18473382864469362
convnet_L2_F1024_K4x4_W40,convnet_L2_F1024_K4x4_W40.trt,187,66.57880663871765,5.719391584396362,7.152557373046875e-07,60.325371980667114,0.3213246608162946
convnet_L2_F1024_K4x4_W50,convnet_L2_F1024_K4x4_W50.trt,120,66.8266351222992,5.386617660522461,7.152557373046875e-07,60.404765605926514,0.5017050226529439
convnet_L2_F256_K4x4_W100,convnet_L2_F256_K4x4_W100.trt,396,66.4033932685852,5.809664249420166,4.76837158203125e-07,60.17515158653259,0.15094928910033872
convnet_L2_F512_K2x2_W100,convnet_L2_F512_K2x2_W100.trt,277,67.71587443351746,5.408829212188721,7.152557373046875e-07,60.30743145942688,0.2165709772695273
convnet_L2_F512_K3x3_W100,convnet_L2_F512_K3x3_W100.trt,276,65.93437886238098,5.341645956039429,7.152557373046875e-07,60.18396997451782,0.21698941614316858
convnet_L2_F512_K3x3_W70,convnet_L2_F512_K3x3_W70.trt,563,66.29206728935242,5.738677501678467,7.152557373046875e-07,60.184144258499146,0.10604364876213548
convnet_L2_F512_K3x3_W80,convnet_L2_F512_K3x3_W80.trt,474,65.94852089881897,5.260684251785278,7.152557373046875e-07,60.19893932342529,0.12608683360779838
convnet_L2_F512_K3x3_W90,convnet_L2_F512_K3x3_W90.trt,355,66.00230860710144,5.403264284133911,7.152557373046875e-07,60.2076370716095,0.1686032899668519
