RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,19%@204,4%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 8626/8626 POM_5V_GPU 5342/5342 POM_5V_CPU 119/119
RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,5%@102,0%@102,24%@102] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32.25C POM_5V_IN 8253/8439 POM_5V_GPU 5080/5211 POM_5V_CPU 120/119
RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,3%@204,2%@204,18%@204] EMC_FREQ 46%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 8158/8345 POM_5V_GPU 4935/5119 POM_5V_CPU 120/119
RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,3%@204,0%@204,20%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@30C AO@38.5C thermal@32.25C POM_5V_IN 6594/7907 POM_5V_GPU 3189/4636 POM_5V_CPU 163/130
RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,4%@102,0%@102,27%@102] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.25C POM_5V_IN 8333/7992 POM_5V_GPU 5120/4733 POM_5V_CPU 160/136
RAM 2166/3964MB (lfb 87x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,3%@204,2%@204,40%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31C POM_5V_IN 7822/7964 POM_5V_GPU 4622/4714 POM_5V_CPU 160/140
RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,0%@102,9%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@31C AO@43C thermal@32.25C POM_5V_IN 8186/7996 POM_5V_GPU 5408/4813 POM_5V_CPU 120/137
RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,2%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 8078/8006 POM_5V_GPU 5296/4874 POM_5V_CPU 120/135
RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,0%@102,4%@102] EMC_FREQ 57%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@31C AO@40.5C thermal@32.25C POM_5V_IN 7425/7941 POM_5V_GPU 4389/4820 POM_5V_CPU 122/133
RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,0%@102,1%@102] EMC_FREQ 57%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.75C POM_5V_IN 7713/7918 POM_5V_GPU 4991/4837 POM_5V_CPU 161/136
RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,0%@204,2%@307] EMC_FREQ 57%@1600 GR3D_FREQ 82%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@29.5C AO@41C thermal@32.75C POM_5V_IN 6849/7821 POM_5V_GPU 4111/4771 POM_5V_CPU 162/138
