RAM 1953/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,11%@1479,6%@1479,4%@1479] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 8600/8600 POM_5V_GPU 5191/5191 POM_5V_CPU 599/599
RAM 1953/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,2%@204,5%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 7862/8231 POM_5V_GPU 5032/5111 POM_5V_CPU 120/359
RAM 1953/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,1%@204,1%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29C AO@40C thermal@31.25C POM_5V_IN 7152/7871 POM_5V_GPU 4503/4908 POM_5V_CPU 121/280
RAM 1953/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,6%@102] EMC_FREQ 47%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@37.5C thermal@31.25C POM_5V_IN 6676/7572 POM_5V_GPU 3815/4635 POM_5V_CPU 123/240
RAM 1953/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [0%@102,2%@204,1%@204,3%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 8118/7681 POM_5V_GPU 5216/4751 POM_5V_CPU 120/216
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,20%@204,3%@204,3%@204] EMC_FREQ 51%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@34C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 8453/7810 POM_5V_GPU 5080/4806 POM_5V_CPU 120/200
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,25%@204,6%@204,6%@204] EMC_FREQ 52%@1600 GR3D_FREQ 77%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@31.5C POM_5V_IN 6430/7613 POM_5V_GPU 3557/4627 POM_5V_CPU 204/201
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,29%@102,9%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 8640/7741 POM_5V_GPU 5151/4693 POM_5V_CPU 160/195
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,29%@204,4%@204,4%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29.5C AO@41.5C thermal@31.75C POM_5V_IN 8413/7816 POM_5V_GPU 5160/4745 POM_5V_CPU 120/187
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,18%@204,5%@204,2%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29C AO@41.5C thermal@31.75C POM_5V_IN 7970/7831 POM_5V_GPU 4742/4744 POM_5V_CPU 160/184
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,1%@102,2%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@31.5C POM_5V_IN 5714/7638 POM_5V_GPU 3105/4595 POM_5V_CPU 124/179
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@31.75C POM_5V_IN 8158/7682 POM_5V_GPU 5256/4650 POM_5V_CPU 120/174
