RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [11%@1036,1%@1036,1%@1036,0%@1036] EMC_FREQ 6%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@31C AO@43C thermal@33.5C POM_5V_IN 6706/6706 POM_5V_GPU 4409/4409 POM_5V_CPU 408/408
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,2%@204,3%@204,0%@204] EMC_FREQ 8%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.5C POM_5V_IN 6368/6537 POM_5V_GPU 4307/4358 POM_5V_CPU 164/286
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,2%@102,1%@102,2%@204] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 6604/6559 POM_5V_GPU 4437/4384 POM_5V_CPU 164/245
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@102,0%@102,2%@102] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@32C AO@43C thermal@33.75C POM_5V_IN 6491/6542 POM_5V_GPU 4273/4356 POM_5V_CPU 123/214
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,5%@102,1%@204,3%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 6686/6571 POM_5V_GPU 4437/4372 POM_5V_CPU 164/204
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,2%@204,1%@204,2%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 6635/6581 POM_5V_GPU 4430/4382 POM_5V_CPU 164/197
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,4%@102,0%@102,3%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33.75C POM_5V_IN 6758/6606 POM_5V_GPU 4594/4412 POM_5V_CPU 123/187
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,10%@102,3%@102,2%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@43C thermal@33.75C POM_5V_IN 6666/6614 POM_5V_GPU 4710/4449 POM_5V_CPU 123/179
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@204,4%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 6706/6624 POM_5V_GPU 4784/4486 POM_5V_CPU 122/172
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,8%@102,2%@102,1%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6706/6632 POM_5V_GPU 4784/4516 POM_5V_CPU 123/167
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,8%@102,1%@102,1%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@34C POM_5V_IN 6758/6644 POM_5V_GPU 4635/4527 POM_5V_CPU 123/163
