RAM 2479/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,3%@204,7%@204,3%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42C thermal@30C POM_5V_IN 7384/7384 POM_5V_GPU 4618/4618 POM_5V_CPU 121/121
RAM 2479/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,8%@102,8%@102,1%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@32C POM_5V_IN 5007/6195 POM_5V_GPU 2461/3539 POM_5V_CPU 125/123
RAM 2478/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,5%@1479,2%@1479,8%@1479] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 7575/6655 POM_5V_GPU 4570/3883 POM_5V_CPU 728/324
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,5%@102,3%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@31C POM_5V_IN 7163/6782 POM_5V_GPU 4836/4121 POM_5V_CPU 121/273
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [7%@1479,3%@1479,5%@1479,0%@1479] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@36C PMIC@50C GPU@30C AO@42.5C thermal@32.5C POM_5V_IN 7384/6902 POM_5V_GPU 4408/4178 POM_5V_CPU 768/372
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,24%@204,9%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@32.25C POM_5V_IN 7644/7026 POM_5V_GPU 4805/4283 POM_5V_CPU 202/344
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@1036,4%@1036,31%@1036,9%@1036] EMC_FREQ 32%@1600 GR3D_FREQ 63%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@32.25C POM_5V_IN 5474/6804 POM_5V_GPU 2691/4055 POM_5V_CPU 248/330
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,6%@307,39%@307,8%@307] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@31.25C POM_5V_IN 7616/6905 POM_5V_GPU 4684/4134 POM_5V_CPU 202/314
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,1%@307,23%@307,2%@307] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.5C POM_5V_IN 7437/6964 POM_5V_GPU 4389/4162 POM_5V_CPU 203/302
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,3%@403,12%@403,2%@403] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 6778/6946 POM_5V_GPU 4402/4186 POM_5V_CPU 163/288
RAM 2475/3964MB (lfb 46x4MB) SWAP 473/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,5%@403,3%@403,0%@403] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@43C thermal@31.5C POM_5V_IN 7204/6969 POM_5V_GPU 4680/4231 POM_5V_CPU 162/276
