RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [7%@1479,18%@1479,4%@1479,2%@1479] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@31C POM_5V_IN 7465/7465 POM_5V_GPU 4901/4901 POM_5V_CPU 162/162
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,6%@102,2%@102,4%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.25C POM_5V_IN 7012/7238 POM_5V_GPU 4892/4896 POM_5V_CPU 122/142
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,0%@102,3%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@33C POM_5V_IN 7052/7176 POM_5V_GPU 4965/4919 POM_5V_CPU 122/135
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,1%@102,4%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@32.75C POM_5V_IN 7163/7173 POM_5V_GPU 5080/4959 POM_5V_CPU 122/132
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,7%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 7052/7148 POM_5V_GPU 4965/4960 POM_5V_CPU 122/130
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,5%@204,5%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@33C POM_5V_IN 6399/7023 POM_5V_GPU 4341/4857 POM_5V_CPU 123/128
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,4%@102,3%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@33C POM_5V_IN 5399/6791 POM_5V_GPU 3120/4609 POM_5V_CPU 124/128
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7012/6819 POM_5V_GPU 4851/4639 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,1%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7052/6845 POM_5V_GPU 4925/4671 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,1%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7052/6865 POM_5V_GPU 4925/4696 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,5%@204,1%@204,0%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7093/6886 POM_5V_GPU 4884/4713 POM_5V_CPU 122/125
