RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,2%@204,0%@204] EMC_FREQ 25%@1600 GR3D_FREQ 90%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@32.25C POM_5V_IN 5746/5746 POM_5V_GPU 3462/3462 POM_5V_CPU 123/123
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,0%@102] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@32.25C POM_5V_IN 5820/5783 POM_5V_GPU 3462/3462 POM_5V_CPU 123/123
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,2%@102,1%@102,1%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@32C POM_5V_IN 5985/5850 POM_5V_GPU 3420/3448 POM_5V_CPU 123/123
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@102,7%@102] EMC_FREQ 47%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@40C thermal@32C POM_5V_IN 6450/6000 POM_5V_GPU 3662/3501 POM_5V_CPU 123/123
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,1%@102,1%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@30.5C AO@40.5C thermal@32.75C POM_5V_IN 6747/6149 POM_5V_GPU 3932/3587 POM_5V_CPU 123/123
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@204,0%@204,7%@204] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@33C POM_5V_IN 7023/6295 POM_5V_GPU 4048/3664 POM_5V_CPU 204/136
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,1%@204,3%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.75C POM_5V_IN 7355/6446 POM_5V_GPU 4396/3768 POM_5V_CPU 122/134
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,1%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@31.75C POM_5V_IN 7983/6638 POM_5V_GPU 5080/3932 POM_5V_CPU 121/132
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,1%@204,1%@204,2%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33C POM_5V_IN 7983/6788 POM_5V_GPU 5152/4068 POM_5V_CPU 120/131
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33C POM_5V_IN 7983/6907 POM_5V_GPU 5112/4172 POM_5V_CPU 120/130
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,1%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33C POM_5V_IN 7943/7001 POM_5V_GPU 5112/4258 POM_5V_CPU 120/129
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@32.5C POM_5V_IN 7943/7080 POM_5V_GPU 5072/4325 POM_5V_CPU 120/128
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,1%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 8010/7151 POM_5V_GPU 5152/4389 POM_5V_CPU 120/127
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 8010/7212 POM_5V_GPU 5152/4443 POM_5V_CPU 120/127
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,3%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 8010/7266 POM_5V_GPU 5152/4491 POM_5V_CPU 120/126
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,0%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@32.75C POM_5V_IN 8010/7312 POM_5V_GPU 5152/4532 POM_5V_CPU 120/126
