Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F128_K2x2_W30_DWS,5,2661145,69135,116472025,dws,30,1869.0,91.0,0.0,15.190677966101696,80.13559322033899,32.49152542372882,25.0,50.0,34.5,26.678571428571427,4727.152542372882,2163.1525423728813,290.3050847457627,23.761904761904763,25.97872340425532,27.944444444444443,278902.0,127626.0,17128.0,6920,11.1768221855163,18.44306358381503,2.47514450867052
convnet_L5_F128_K2x2_W40_DWS,5,3941145,69135,180585825,dws,40,1631.271186440678,91.0,0.0,12.36864406779661,84.84745762711864,34.74576271186441,25.0,50.0,34.5,26.51923076923077,4877.152542372882,2311.2203389830506,253.9322033898305,23.47826086956522,26.0,27.894736842105264,287752.0,136362.0,14982.0,4913,14.2887353897094,27.75534296763688,3.0494606146957053
convnet_L5_F128_K2x2_W50_DWS,5,5477145,69135,258782625,dws,50,1639.0,91.0,0.0,11.72457627118644,83.83050847457628,34.13559322033898,25.0,50.0,34.306451612903224,26.695652173913043,4784.101694915255,2314.694915254237,213.4406779661017,23.1875,26.0,27.83783783783784,282262.0,136567.0,12593.0,3417,18.5978603363037,39.96693005560433,3.6853965466783727
convnet_L5_F128_K2x2_W60_DWS,5,7269145,69135,351062425,dws,60,1648.0,91.0,0.0,10.402542372881356,84.66101694915254,35.05084745762712,25.0,50.0,34.425925925925924,26.603658536585368,4847.203389830508,2358.4406779661017,206.6779661016949,23.39130434782609,26.0,27.6875,285985.0,139148.0,12194.0,2625,23.1090116500854,53.008761904761904,4.645333333333333
convnet_L5_F128_K2x2_W70_DWS,5,9317145,69135,457425225,dws,70,1660.8135593220338,91.0,0.0,10.173728813559322,82.55932203389831,34.6271186440678,25.0,50.0,34.435483870967744,26.64583333333333,4785.322033898305,2296.491525423729,178.57627118644066,23.071428571428573,26.0,27.82758620689655,282334.0,135493.0,10536.0,2007,28.4335613250732,67.51021425012456,5.249626307922272
convnet_L5_F128_K2x2_W80_DWS,5,11621145,69135,577871025,dws,80,1675.3898305084747,91.0,0.0,9.55084745762712,84.30508474576271,35.610169491525426,25.0,50.0,34.44444444444444,26.581632653061224,4865.389830508475,2395.576271186441,170.66101694915255,23.33333333333333,25.90322580645161,27.56410256410257,287058.0,141339.0,10069.0,1630,36.150877475738504,86.71104294478528,6.177300613496932
convnet_L5_F128_K2x2_W90_DWS,5,14181145,69135,712399825,dws,90,1686.280701754386,91.0,0.0,8.767543859649123,86.03508771929825,36.35087719298246,25.0,50.0,34.44117647058823,26.761111111111116,4874.456140350877,2381.5087719298244,167.94736842105263,23.107142857142858,26.0,27.70967741935484,277844.0,135746.0,9573.0,1363,44.1597032546997,99.59354365370507,7.023477622890682
convnet_L5_F128_K2x2_W100_DWS,5,16997145,69135,861011625,dws,100,1706.7627118644068,91.0,0.0,8.271186440677965,84.72881355932203,37.01694915254237,25.0,50.0,35.0,27.445,4985.677966101695,2455.406779661017,167.08474576271186,24.0,26.666666666666668,28.394736842105264,294155.0,144869.0,9858.0,1152,52.5621724128723,125.75434027777777,8.557291666666666
convnet_L5_F128_K3x3_W40_DWS,5,2119720,71710,116784010,dws,40,1626.0,91.0,0.0,15.927966101694915,82.76271186440678,36.067796610169495,25.0,50.0,34.5,27.02906976744186,4988.389830508475,2347.3898305084745,300.542372881356,23.72,26.03846153846154,27.97222222222222,294315.0,138496.0,17732.0,9184,8.468058109283401,15.0801393728223,1.9307491289198606
convnet_L5_F128_K3x3_W50_DWS,5,3271720,71710,182475010,dws,50,1632.033898305085,91.0,0.0,13.923728813559322,85.15254237288136,38.54237288135593,25.0,50.0,34.59090909090909,27.255102040816325,5113.474576271186,2444.694915254237,272.542372881356,23.96875,26.30555555555556,28.115384615384617,301695.0,144237.0,16080.0,6223,11.7374682426452,23.178049172424874,2.583962718945846
convnet_L5_F128_K3x3_W60_DWS,5,4679720,71710,262764010,dws,60,1641.0,91.0,0.0,12.898305084745765,81.0677966101695,36.77966101694916,25.0,50.0,34.44444444444444,26.81372549019608,4914.254237288135,2335.576271186441,235.38983050847455,23.55555555555556,26.0,27.806451612903224,289941.0,137799.0,13888.0,4138,14.6527743339538,33.30086998550024,3.3562107298211696
convnet_L5_F128_K3x3_W70_DWS,5,6343720,71710,357651010,dws,70,1653.0,91.0,0.0,11.627118644067796,84.71186440677967,37.644067796610166,25.0,50.0,34.55882352941177,27.0,5013.881355932203,2440.576271186441,214.0,23.727272727272727,26.026315789473685,27.97058823529412,295819.0,143994.0,12626.0,3108,21.8505024909973,46.33011583011583,4.062419562419563
convnet_L5_F128_K3x3_W80_DWS,5,8263720,71710,467136010,dws,80,1662.0,91.0,0.0,10.194915254237287,87.16949152542372,39.71186440677966,25.0,50.0,34.94117647058823,27.072222222222223,5113.372881355932,2496.728813559322,203.35593220338984,23.625,26.258064516129032,28.057142857142857,301689.0,147307.0,11998.0,2508,23.2815432548522,58.734848484848484,4.783891547049442
convnet_L5_F128_K3x3_W90_DWS,5,10439720,71710,591219010,dws,90,1675.677966101695,91.0,0.0,10.08898305084746,84.44067796610169,38.79661016949152,25.0,50.0,34.88709677419355,26.81081081081081,4999.169491525424,2450.8474576271187,175.03389830508473,23.448275862068964,26.0,27.939393939393938,294951.0,144600.0,10327.0,1927,30.509774684906,75.03892060197198,5.359107420861442
convnet_L5_F128_K3x3_W100_DWS,5,12871720,71710,729900010,dws,100,1691.0169491525423,91.0,0.0,9.627118644067796,82.72881355932203,37.83050847457627,25.0,50.0,34.5,26.791666666666668,4965.593220338983,2389.237288135593,167.77966101694915,23.43478260869565,26.0,27.894736842105264,292970.0,140965.0,9899.0,1587,37.112531661987305,88.82482671707625,6.23755513547574
convnet_L5_F128_K4x4_W40_DWS,5,2667325,75315,145081325,dws,40,1631.0,91.0,0.0,13.351694915254235,85.03389830508475,29.05084745762712,25.0,50.0,34.66129032258065,26.99305555555556,4918.508474576272,2466.728813559322,272.728813559322,23.33333333333333,26.03030303030303,27.91176470588235,290192.0,145537.0,16091.0,5813,10.610103607177699,25.0364699810769,2.7681059693789782
convnet_L5_F128_K4x4_W50_DWS,5,3947325,75315,219388725,dws,50,1636.0,91.0,0.0,12.610169491525424,81.77966101694915,28.610169491525426,25.0,50.0,34.53448275862069,26.821428571428573,4777.864406779661,2406.0169491525426,229.5593220338983,23.516129032258064,26.0,27.875,281894.0,141955.0,13544.0,3812,14.743778705596899,37.23898216159496,3.55299055613851
convnet_L5_F128_K4x4_W60_DWS,5,5483325,75315,309015125,dws,60,1643.0,91.0,0.0,10.58898305084746,84.59322033898304,29.559322033898304,25.0,50.0,34.7,26.91875,4845.542372881356,2499.610169491525,197.5593220338983,23.307692307692307,26.114285714285717,27.9,285887.0,147477.0,11656.0,2801,21.738917827606198,52.65155301677972,4.161370938950375
convnet_L5_F128_K4x4_W70_DWS,5,7275325,75315,413960525,dws,70,1652.0169491525423,91.0,0.0,10.627118644067796,81.32203389830508,29.42372881355932,25.0,50.0,34.733333333333334,26.86627906976744,4796.864406779661,2463.627118644068,188.4915254237288,23.05555555555556,26.02777777777778,27.88888888888889,283015.0,145354.0,11121.0,2090,28.9540696144104,69.54736842105264,5.321052631578947
