Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L10_F128_K2x2_W100_DWS,0.09206640720367432,1.6689300537109375e-06,0.000728607177734375
convnet_L10_F128_K2x2_W10_DWS,0.009041099548339844,1.1920928955078125e-06,0.0006320476531982422
convnet_L10_F128_K2x2_W20_DWS,0.015237681865692139,1.1920928955078125e-06,0.0005867481231689453
convnet_L10_F128_K2x2_W30_DWS,0.019494585990905762,1.430511474609375e-06,0.0006310939788818359
convnet_L10_F128_K2x2_W40_DWS,0.02637752056121826,2.86102294921875e-06,0.001516103744506836
convnet_L10_F128_K2x2_W50_DWS,0.03107167959213257,1.9073486328125e-06,0.0010716915130615234
convnet_L10_F128_K2x2_W60_DWS,0.0437774920463562,1.1920928955078125e-06,0.0006346702575683594
convnet_L10_F128_K2x2_W70_DWS,0.0540294885635376,2.1457672119140625e-06,0.0008933544158935547
convnet_L10_F128_K2x2_W80_DWS,0.06591480493545532,1.430511474609375e-06,0.0005841255187988281
convnet_L10_F128_K2x2_W90_DWS,0.0772004771232605,1.6689300537109375e-06,0.0006618499755859375
convnet_L10_F128_K3x3_W100_DWS,0.05492572069168091,1.430511474609375e-06,0.0006659030914306641
convnet_L10_F128_K3x3_W30_DWS,0.009106922149658202,1.430511474609375e-06,0.0006005764007568359
convnet_L10_F128_K3x3_W40_DWS,0.009941799640655518,2.6226043701171875e-06,0.0015141963958740234
convnet_L10_F128_K3x3_W50_DWS,0.014067308902740478,2.6226043701171875e-06,0.0007526874542236328
convnet_L10_F128_K3x3_W60_DWS,0.021480324268341063,1.6689300537109375e-06,0.0013439655303955078
convnet_L10_F128_K3x3_W70_DWS,0.025308170318603516,2.384185791015625e-06,0.0011646747589111328
convnet_L10_F128_K3x3_W80_DWS,0.035781540870666505,1.1920928955078125e-06,0.0006334781646728516
convnet_L10_F128_K3x3_W90_DWS,0.04161506652832031,1.1920928955078125e-06,0.0006496906280517578
convnet_L10_F128_K4x4_W100_DWS,0.09046564817428589,1.430511474609375e-06,0.0006666183471679688
convnet_L10_F128_K4x4_W20_DWS,0.008494963645935058,2.6226043701171875e-06,0.0009834766387939453
convnet_L10_F128_K4x4_W30_DWS,0.012288122177124024,1.9073486328125e-06,0.0006153583526611328
convnet_L10_F128_K4x4_W40_DWS,0.01847027540206909,2.86102294921875e-06,0.001581430435180664
convnet_L10_F128_K4x4_W50_DWS,0.026912097930908204,1.430511474609375e-06,0.0006470680236816406
convnet_L10_F128_K4x4_W60_DWS,0.03465897083282471,1.430511474609375e-06,0.0006399154663085938
convnet_L10_F128_K4x4_W70_DWS,0.049068026542663574,1.1920928955078125e-06,0.0006475448608398438
convnet_L10_F128_K4x4_W80_DWS,0.0589226746559143,2.86102294921875e-06,0.0010807514190673828
convnet_L10_F128_K4x4_W90_DWS,0.07557370185852051,1.9073486328125e-06,0.0006453990936279297
convnet_L10_F128_K5x5_W100_DWS,0.09186901092529297,1.9073486328125e-06,0.00067138671875
convnet_L10_F128_K5x5_W30_DWS,0.011441388130187989,9.5367431640625e-07,0.0006194114685058594
convnet_L10_F128_K5x5_W40_DWS,0.021312103271484376,1.1920928955078125e-06,0.0006165504455566406
convnet_L10_F128_K5x5_W50_DWS,0.02436112880706787,1.6689300537109375e-06,0.0006453990936279297
convnet_L10_F128_K5x5_W60_DWS,0.0346135401725769,1.6689300537109375e-06,0.0006711483001708984
convnet_L10_F128_K5x5_W70_DWS,0.04927899122238159,1.6689300537109375e-06,0.0006456375122070312
convnet_L10_F128_K5x5_W80_DWS,0.05965712547302246,1.6689300537109375e-06,0.0008168220520019531
convnet_L10_F128_K5x5_W90_DWS,0.07515748739242553,2.384185791015625e-06,0.0007302761077880859
convnet_L10_F192_K2x2_W100_DWS,0.14041544675827025,1.1920928955078125e-06,0.0006625652313232422
convnet_L10_F192_K2x2_W10_DWS,0.015106487274169921,2.86102294921875e-06,0.001148223876953125
convnet_L10_F192_K2x2_W20_DWS,0.0202585506439209,2.86102294921875e-06,0.0008702278137207031
convnet_L10_F192_K2x2_W30_DWS,0.02950573205947876,2.86102294921875e-06,0.001497507095336914
convnet_L10_F192_K2x2_W40_DWS,0.04303079605102539,1.9073486328125e-06,0.0009157657623291016
convnet_L10_F192_K2x2_W50_DWS,0.0549431848526001,9.5367431640625e-07,0.0006439685821533203
convnet_L10_F192_K2x2_W60_DWS,0.0750088620185852,1.9073486328125e-06,0.000644683837890625
convnet_L10_F192_K2x2_W70_DWS,0.08713689804077149,1.1920928955078125e-06,0.0006110668182373047
convnet_L10_F192_K2x2_W80_DWS,0.10856499910354614,9.5367431640625e-07,0.0005843639373779297
convnet_L10_F192_K2x2_W90_DWS,0.12757508277893068,1.430511474609375e-06,0.0006487369537353516
convnet_L10_F192_K3x3_W100_DWS,0.08458003282546997,1.430511474609375e-06,0.0006785392761230469
convnet_L10_F192_K3x3_W20_DWS,0.008036682605743408,1.1920928955078125e-06,0.0006175041198730469
convnet_L10_F192_K3x3_W30_DWS,0.010474662780761718,2.1457672119140625e-06,0.00113677978515625
convnet_L10_F192_K3x3_W40_DWS,0.015467326641082763,2.86102294921875e-06,0.0015289783477783203
convnet_L10_F192_K3x3_W50_DWS,0.024994480609893798,3.5762786865234375e-06,0.0012733936309814453
convnet_L10_F192_K3x3_W60_DWS,0.0354340648651123,2.86102294921875e-06,0.0016281604766845703
convnet_L10_F192_K3x3_W70_DWS,0.04802159786224365,1.1920928955078125e-06,0.0006375312805175781
convnet_L10_F192_K3x3_W80_DWS,0.059572436809539796,2.384185791015625e-06,0.0010943412780761719
convnet_L10_F192_K3x3_W90_DWS,0.07726647138595581,1.1920928955078125e-06,0.0006535053253173828
convnet_L10_F192_K4x4_W100_DWS,0.14681224822998046,1.430511474609375e-06,0.0006473064422607422
convnet_L10_F192_K4x4_W20_DWS,0.011684999465942383,2.86102294921875e-06,0.0015692710876464844
convnet_L10_F192_K4x4_W30_DWS,0.02067779779434204,1.6689300537109375e-06,0.0006487369537353516
convnet_L10_F192_K4x4_W40_DWS,0.0322168755531311,1.1920928955078125e-06,0.0006291866302490234
convnet_L10_F192_K4x4_W50_DWS,0.043989713191986086,1.1920928955078125e-06,0.0006515979766845703
convnet_L10_F192_K4x4_W60_DWS,0.06165571451187134,3.0994415283203125e-06,0.0005941390991210938
convnet_L10_F192_K4x4_W70_DWS,0.07324067592620849,1.6689300537109375e-06,0.0007975101470947266
convnet_L10_F192_K4x4_W80_DWS,0.09919283866882324,1.6689300537109375e-06,0.0006139278411865234
convnet_L10_F192_K4x4_W90_DWS,0.11307304859161377,1.1920928955078125e-06,0.0006330013275146484
convnet_L10_F192_K5x5_W100_DWS,0.14650028228759765,1.1920928955078125e-06,0.0006887912750244141
convnet_L10_F192_K5x5_W20_DWS,0.013067004680633544,2.384185791015625e-06,0.0015578269958496094
convnet_L10_F192_K5x5_W30_DWS,0.01582273006439209,9.5367431640625e-07,0.000644683837890625
convnet_L10_F192_K5x5_W40_DWS,0.024142122268676756,1.1920928955078125e-06,0.0006937980651855469
convnet_L10_F192_K5x5_W50_DWS,0.037355124950408936,1.430511474609375e-06,0.000652313232421875
convnet_L10_F192_K5x5_W60_DWS,0.05349408149719238,2.86102294921875e-06,0.0007767677307128906
convnet_L10_F192_K5x5_W70_DWS,0.07578924655914307,1.430511474609375e-06,0.0006430149078369141
convnet_L10_F192_K5x5_W80_DWS,0.09413642406463624,1.1920928955078125e-06,0.0007634162902832031
convnet_L10_F192_K5x5_W90_DWS,0.12021207571029663,1.430511474609375e-06,0.000652313232421875
convnet_L10_F256_K2x2_W100_DWS,0.20758261203765868,1.430511474609375e-06,0.000675201416015625
convnet_L10_F256_K2x2_W10_DWS,0.018012940883636475,2.6226043701171875e-06,0.0015816688537597656
convnet_L10_F256_K2x2_W20_DWS,0.028704712390899657,1.1920928955078125e-06,0.000614166259765625
convnet_L10_F256_K2x2_W30_DWS,0.044048230648040775,1.1920928955078125e-06,0.0006237030029296875
convnet_L10_F256_K2x2_W40_DWS,0.05731924295425415,3.0994415283203125e-06,0.0008382797241210938
convnet_L10_F256_K2x2_W50_DWS,0.08052908897399902,1.6689300537109375e-06,0.0008463859558105469
convnet_L10_F256_K2x2_W60_DWS,0.10176671266555787,1.1920928955078125e-06,0.0006327629089355469
convnet_L10_F256_K2x2_W70_DWS,0.1185240912437439,3.337860107421875e-06,0.0011773109436035156
convnet_L10_F256_K2x2_W80_DWS,0.14431287288665773,9.5367431640625e-07,0.0006403923034667969
convnet_L10_F256_K2x2_W90_DWS,0.18361959457397461,1.6689300537109375e-06,0.0006582736968994141
convnet_L10_F256_K3x3_W100_DWS,0.12609781742095946,1.430511474609375e-06,0.0006349086761474609
convnet_L10_F256_K3x3_W20_DWS,0.008436553478240967,3.337860107421875e-06,0.0009145736694335938
convnet_L10_F256_K3x3_W30_DWS,0.014313817024230957,2.1457672119140625e-06,0.0007321834564208984
convnet_L10_F256_K3x3_W40_DWS,0.02205376625061035,9.5367431640625e-07,0.0006740093231201172
convnet_L10_F256_K3x3_W50_DWS,0.032659058570861814,1.430511474609375e-06,0.0006527900695800781
convnet_L10_F256_K3x3_W60_DWS,0.051511006355285646,3.0994415283203125e-06,0.0011601448059082031
convnet_L10_F256_K3x3_W70_DWS,0.06890940427780151,1.1920928955078125e-06,0.0006453990936279297
convnet_L10_F256_K3x3_W80_DWS,0.08944814443588257,2.6226043701171875e-06,0.0014007091522216797
convnet_L10_F256_K3x3_W90_DWS,0.11213756084442139,1.1920928955078125e-06,0.0007188320159912109
