model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L10_F128_K2x2_W100_DWS,convnet_L10_F128_K2x2_W100_DWS.trt,648,65.68160605430603,5.00152587890625,4.76837158203125e-07,60.16526389122009,0.09204089457606092
convnet_L10_F128_K2x2_W10_DWS,convnet_L10_F128_K2x2_W10_DWS.trt,7461,65.41766142845154,5.231675386428833,9.5367431640625e-07,60.0953323841095,0.007943065504241032
convnet_L10_F128_K2x2_W20_DWS,convnet_L10_F128_K2x2_W20_DWS.trt,4706,65.5222897529602,5.273165702819824,7.152557373046875e-07,60.09958505630493,0.012621680726611862
convnet_L10_F128_K2x2_W30_DWS,convnet_L10_F128_K2x2_W30_DWS.trt,3354,65.55985951423645,5.276086091995239,7.152557373046875e-07,60.0896954536438,0.017741425874763538
convnet_L10_F128_K2x2_W40_DWS,convnet_L10_F128_K2x2_W40_DWS.trt,2301,65.69236183166504,5.318639516830444,7.152557373046875e-07,60.1168909072876,0.025832910425815307
convnet_L10_F128_K2x2_W50_DWS,convnet_L10_F128_K2x2_W50_DWS.trt,1924,65.77492713928223,5.445563554763794,4.76837158203125e-07,60.1224205493927,0.030892090837078133
convnet_L10_F128_K2x2_W60_DWS,convnet_L10_F128_K2x2_W60_DWS.trt,1333,65.19817662239075,4.885465860366821,7.152557373046875e-07,60.10192584991455,0.04444208327577424
convnet_L10_F128_K2x2_W70_DWS,convnet_L10_F128_K2x2_W70_DWS.trt,1104,65.24062132835388,4.87242317199707,4.76837158203125e-07,60.095388889312744,0.05376867885174959
convnet_L10_F128_K2x2_W80_DWS,convnet_L10_F128_K2x2_W80_DWS.trt,905,65.85715293884277,5.514986276626587,4.76837158203125e-07,60.10074019432068,0.0656866426625963
convnet_L10_F128_K2x2_W90_DWS,convnet_L10_F128_K2x2_W90_DWS.trt,767,65.41723155975342,5.037187099456787,4.76837158203125e-07,60.114814043045044,0.07762679935589607
convnet_L10_F128_K3x3_W100_DWS,convnet_L10_F128_K3x3_W100_DWS.trt,1066,65.9246129989624,5.443463563919067,4.76837158203125e-07,60.10233807563782,0.05566423650530445
convnet_L10_F128_K3x3_W30_DWS,convnet_L10_F128_K3x3_W30_DWS.trt,10282,65.43615579605103,5.250936031341553,7.152557373046875e-07,60.08819389343262,0.005756368852269207
convnet_L10_F128_K3x3_W40_DWS,convnet_L10_F128_K3x3_W40_DWS.trt,6387,65.55585145950317,5.326745510101318,7.152557373046875e-07,60.10042977333069,0.009281923014251245
convnet_L10_F128_K3x3_W50_DWS,convnet_L10_F128_K3x3_W50_DWS.trt,4257,65.55097246170044,5.284804582595825,4.76837158203125e-07,60.10078716278076,0.013951928116554437
convnet_L10_F128_K3x3_W60_DWS,convnet_L10_F128_K3x3_W60_DWS.trt,2801,65.50009202957153,5.219902038574219,9.5367431640625e-07,60.106242418289185,0.021179225094954228
convnet_L10_F128_K3x3_W70_DWS,convnet_L10_F128_K3x3_W70_DWS.trt,2316,65.76196026802063,5.370896339416504,9.5367431640625e-07,60.10313582420349,0.025641503111686115
convnet_L10_F128_K3x3_W80_DWS,convnet_L10_F128_K3x3_W80_DWS.trt,1643,65.82639837265015,5.450266361236572,4.76837158203125e-07,60.10356640815735,0.036110933278293345
convnet_L10_F128_K3x3_W90_DWS,convnet_L10_F128_K3x3_W90_DWS.trt,1408,65.98248624801636,5.517368316650391,7.152557373046875e-07,60.11099052429199,0.04208112999119542
convnet_L10_F128_K4x4_W100_DWS,convnet_L10_F128_K4x4_W100_DWS.trt,654,66.51193475723267,5.497378587722778,4.76837158203125e-07,60.1700234413147,0.09118699152535255
convnet_L10_F128_K4x4_W20_DWS,convnet_L10_F128_K4x4_W20_DWS.trt,8533,65.46241354942322,5.252755403518677,9.5367431640625e-07,60.09286093711853,0.0069440195460706775
