RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,13%@403,7%@403,4%@403] EMC_FREQ 12%@1600 GR3D_FREQ 93%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 5234/5234 POM_5V_GPU 2679/2679 POM_5V_CPU 288/288
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,27%@307,6%@307,5%@307] EMC_FREQ 20%@1600 GR3D_FREQ 90%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@25.5C AO@34.5C thermal@27C POM_5V_IN 5358/5296 POM_5V_GPU 2752/2715 POM_5V_CPU 287/287
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@403,3%@403,3%@403,2%@403] EMC_FREQ 24%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5118/5236 POM_5V_GPU 2802/2744 POM_5V_CPU 206/260
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [35%@403,3%@403,1%@403,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 5308/5254 POM_5V_GPU 2757/2747 POM_5V_CPU 247/257
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [35%@307,6%@307,4%@307,5%@307] EMC_FREQ 30%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 5308/5265 POM_5V_GPU 2757/2749 POM_5V_CPU 247/255
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,1%@307,4%@307,1%@307] EMC_FREQ 31%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 5349/5279 POM_5V_GPU 2917/2777 POM_5V_CPU 246/253
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@307,1%@307,7%@307,2%@307] EMC_FREQ 32%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5390/5295 POM_5V_GPU 2757/2774 POM_5V_CPU 246/252
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@518,3%@518,3%@518,5%@518] EMC_FREQ 33%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@26.75C POM_5V_IN 5432/5312 POM_5V_GPU 2839/2782 POM_5V_CPU 246/251
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@403,2%@403,4%@403,7%@403] EMC_FREQ 33%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5275/5308 POM_5V_GPU 2761/2780 POM_5V_CPU 247/251
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [35%@307,5%@307,3%@307,6%@307] EMC_FREQ 33%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5118/5289 POM_5V_GPU 2761/2778 POM_5V_CPU 247/250
RAM 1633/3964MB (lfb 26x4MB) SWAP 95/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@403,4%@403,3%@403,3%@403] EMC_FREQ 34%@1600 GR3D_FREQ 90%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 5432/5302 POM_5V_GPU 2839/2783 POM_5V_CPU 246/250
