RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,20%@403,17%@403,10%@403] EMC_FREQ 8%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5059/5059 POM_5V_GPU 2857/2857 POM_5V_CPU 289/289
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,30%@307,8%@307,6%@307] EMC_FREQ 13%@1600 GR3D_FREQ 77%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4942/5000 POM_5V_GPU 2820/2838 POM_5V_CPU 248/268
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@403,36%@403,6%@403,9%@403] EMC_FREQ 15%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 4942/4981 POM_5V_GPU 2737/2804 POM_5V_CPU 290/275
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,37%@403,7%@403,8%@403] EMC_FREQ 17%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 5101/5011 POM_5V_GPU 2898/2828 POM_5V_CPU 289/279
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,38%@307,5%@307,7%@307] EMC_FREQ 18%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5059/5020 POM_5V_GPU 2695/2801 POM_5V_CPU 248/272
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,36%@307,7%@307,8%@307] EMC_FREQ 19%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4976/5013 POM_5V_GPU 2820/2804 POM_5V_CPU 290/275
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,36%@307,5%@307,5%@307] EMC_FREQ 20%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 4942/5003 POM_5V_GPU 2741/2795 POM_5V_CPU 290/277
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,39%@307,6%@307,9%@307] EMC_FREQ 20%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.75C POM_5V_IN 5018/5004 POM_5V_GPU 2774/2792 POM_5V_CPU 290/279
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,36%@403,10%@403,6%@403] EMC_FREQ 21%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.75C POM_5V_IN 5101/5015 POM_5V_GPU 2898/2804 POM_5V_CPU 290/280
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,38%@307,9%@307,7%@307] EMC_FREQ 21%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 5018/5015 POM_5V_GPU 2774/2801 POM_5V_CPU 289/281
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,36%@403,7%@403,5%@403] EMC_FREQ 21%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5101/5023 POM_5V_GPU 2815/2802 POM_5V_CPU 290/282
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,33%@307,7%@307,6%@307] EMC_FREQ 21%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 5059/5026 POM_5V_GPU 2695/2793 POM_5V_CPU 290/282
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@403,35%@403,10%@403,11%@403] EMC_FREQ 21%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5059/5029 POM_5V_GPU 2774/2792 POM_5V_CPU 289/283
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,37%@403,7%@403,6%@403] EMC_FREQ 21%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@28C POM_5V_IN 5059/5031 POM_5V_GPU 2857/2796 POM_5V_CPU 290/283
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,37%@307,8%@307,10%@307] EMC_FREQ 21%@1600 GR3D_FREQ 79%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@28C POM_5V_IN 4942/5025 POM_5V_GPU 2778/2795 POM_5V_CPU 290/284
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,37%@307,6%@307,6%@307] EMC_FREQ 21%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4942/5020 POM_5V_GPU 2695/2789 POM_5V_CPU 290/284
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,37%@403,11%@403,4%@403] EMC_FREQ 21%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@28C POM_5V_IN 4976/5017 POM_5V_GPU 2778/2788 POM_5V_CPU 289/284
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,39%@403,11%@403,8%@403] EMC_FREQ 21%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5059/5019 POM_5V_GPU 2857/2792 POM_5V_CPU 331/287
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,36%@307,9%@307,8%@307] EMC_FREQ 21%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5059/5021 POM_5V_GPU 2857/2795 POM_5V_CPU 290/287
RAM 1630/3964MB (lfb 38x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,39%@403,7%@403,8%@403] EMC_FREQ 21%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 5059/5023 POM_5V_GPU 2815/2796 POM_5V_CPU 331/289
