RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,1%@307,2%@307,2%@307] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 4700/4700 POM_5V_GPU 2699/2699 POM_5V_CPU 166/166
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,4%@204,3%@204,4%@204] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27.5C POM_5V_IN 4867/4783 POM_5V_GPU 2620/2659 POM_5V_CPU 166/166
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,3%@204,3%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27.5C POM_5V_IN 4506/4691 POM_5V_GPU 2579/2632 POM_5V_CPU 166/166
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,5%@204,3%@204,3%@204] EMC_FREQ 18%@1600 GR3D_FREQ 63%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@26.75C POM_5V_IN 4935/4752 POM_5V_GPU 2939/2709 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,21%@204,4%@204,0%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5134/4828 POM_5V_GPU 2939/2755 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,26%@403,3%@403,3%@403] EMC_FREQ 20%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@26.75C POM_5V_IN 5134/4879 POM_5V_GPU 3018/2799 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,23%@307,4%@307,5%@307] EMC_FREQ 20%@1600 GR3D_FREQ 66%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@36C thermal@27C POM_5V_IN 5209/4926 POM_5V_GPU 3137/2847 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,23%@204,3%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@36C thermal@27.25C POM_5V_IN 5093/4947 POM_5V_GPU 3100/2878 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,22%@204,3%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 97%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5176/4972 POM_5V_GPU 2944/2886 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,23%@204,4%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4708/4946 POM_5V_GPU 2616/2859 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,21%@102,2%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@34.5C thermal@27C POM_5V_IN 4464/4902 POM_5V_GPU 2458/2822 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,23%@204,3%@204,5%@204] EMC_FREQ 21%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4617/4878 POM_5V_GPU 2699/2812 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,23%@102,5%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5093/4895 POM_5V_GPU 3018/2828 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,25%@204,2%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5093/4909 POM_5V_GPU 3100/2847 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,18%@102,11%@204,5%@204] EMC_FREQ 21%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35C thermal@27C POM_5V_IN 5142/4924 POM_5V_GPU 2903/2851 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,20%@204,4%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 4984/4928 POM_5V_GPU 2741/2844 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,26%@102,5%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27.5C POM_5V_IN 4942/4929 POM_5V_GPU 2741/2838 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,19%@204,10%@204,6%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 4464/4903 POM_5V_GPU 2579/2823 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,15%@204,13%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 4659/4890 POM_5V_GPU 2741/2819 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,23%@204,2%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 4464/4869 POM_5V_GPU 2537/2805 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,24%@307,5%@307,3%@307] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4700/4861 POM_5V_GPU 2699/2800 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,22%@204,4%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 71%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4742/4855 POM_5V_GPU 2741/2797 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,24%@307,3%@307,4%@307] EMC_FREQ 21%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.5C POM_5V_IN 4583/4843 POM_5V_GPU 2579/2788 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,25%@102,2%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 95%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@36C thermal@27.25C POM_5V_IN 5358/4865 POM_5V_GPU 3004/2797 POM_5V_CPU 164/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,22%@204,2%@204,5%@204] EMC_FREQ 21%@1600 GR3D_FREQ 78%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 5514/4891 POM_5V_GPU 3049/2807 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,25%@102,3%@102,7%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@34.5C thermal@27.25C POM_5V_IN 5059/4897 POM_5V_GPU 2616/2799 POM_5V_CPU 166/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,18%@204,7%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 4499/4882 POM_5V_GPU 2579/2791 POM_5V_CPU 166/165
