RAM 1639/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@518,4%@518,9%@518,5%@518] EMC_FREQ 12%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@26.25C POM_5V_IN 5637/5637 POM_5V_GPU 2962/2962 POM_5V_CPU 329/329
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@307,5%@307,7%@307,6%@307] EMC_FREQ 20%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5564/5600 POM_5V_GPU 2843/2902 POM_5V_CPU 247/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [35%@403,9%@403,8%@403,9%@403] EMC_FREQ 25%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 5448/5549 POM_5V_GPU 2885/2896 POM_5V_CPU 329/301
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,10%@204,5%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 76%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.5C POM_5V_IN 5101/5437 POM_5V_GPU 2687/2844 POM_5V_CPU 248/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,40%@307,7%@307,7%@307] EMC_FREQ 30%@1600 GR3D_FREQ 93%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5481/5446 POM_5V_GPU 3004/2876 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,37%@403,4%@403,7%@403] EMC_FREQ 32%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5596/5471 POM_5V_GPU 3004/2897 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [40%@204,7%@204,5%@204,9%@204] EMC_FREQ 33%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5366/5456 POM_5V_GPU 2885/2895 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,38%@403,8%@403,7%@403] EMC_FREQ 33%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35C thermal@27C POM_5V_IN 5948/5517 POM_5V_GPU 2949/2902 POM_5V_CPU 287/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,37%@403,5%@403,6%@403] EMC_FREQ 34%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5564/5522 POM_5V_GPU 3004/2913 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,35%@403,6%@403,5%@403] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.75C POM_5V_IN 5564/5526 POM_5V_GPU 2926/2914 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,33%@403,4%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5522/5526 POM_5V_GPU 3004/2923 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,33%@307,7%@307,7%@307] EMC_FREQ 35%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 5555/5528 POM_5V_GPU 3004/2929 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,34%@403,6%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5564/5531 POM_5V_GPU 3004/2935 POM_5V_CPU 288/288
