RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,6%@204,0%@204,14%@204] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27.5C AO@36C thermal@29.5C POM_5V_IN 5614/5614 POM_5V_GPU 2930/2930 POM_5V_CPU 123/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,3%@204,2%@204,21%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29.5C POM_5V_IN 6857/6235 POM_5V_GPU 4179/3554 POM_5V_CPU 121/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,3%@102,15%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 6184/6218 POM_5V_GPU 3850/3653 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,3%@102,6%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27.5C AO@36C thermal@28.25C POM_5V_IN 4548/5800 POM_5V_GPU 2416/3343 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,7%@102,1%@102,3%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@39.5C thermal@28.75C POM_5V_IN 6553/5951 POM_5V_GPU 4348/3544 POM_5V_CPU 121/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,4%@102,7%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29.5C POM_5V_IN 6482/6039 POM_5V_GPU 4158/3646 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,5%@204,5%@204,4%@204] EMC_FREQ 27%@1600 GR3D_FREQ 62%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29.5C POM_5V_IN 5209/5921 POM_5V_GPU 3178/3579 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,5%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 6112/5944 POM_5V_GPU 3692/3593 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,5%@102,0%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@29.75C POM_5V_IN 6369/5992 POM_5V_GPU 4158/3656 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,4%@102,4%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29.5C POM_5V_IN 5448/5937 POM_5V_GPU 3415/3632 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@204,5%@204,6%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@28.75C POM_5V_IN 5457/5893 POM_5V_GPU 3100/3584 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,1%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@29C POM_5V_IN 6522/5946 POM_5V_GPU 4199/3635 POM_5V_CPU 122/122
