RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,9%@204,16%@204,6%@204] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6563/6563 POM_5V_GPU 4036/4036 POM_5V_CPU 163/163
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,5%@204,17%@204,5%@204] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@30.75C POM_5V_IN 6645/6604 POM_5V_GPU 4111/4073 POM_5V_CPU 122/142
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,8%@204,25%@204,4%@204] EMC_FREQ 16%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38C thermal@30.75C POM_5V_IN 4784/5997 POM_5V_GPU 2579/3575 POM_5V_CPU 166/150
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,6%@204,3%@204,2%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.75C POM_5V_IN 5761/5938 POM_5V_GPU 3821/3636 POM_5V_CPU 164/153
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,1%@102,1%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41C thermal@31.5C POM_5V_IN 6257/6002 POM_5V_GPU 4205/3750 POM_5V_CPU 122/147
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,3%@102,3%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30.5C AO@37.5C thermal@31.5C POM_5V_IN 5108/5853 POM_5V_GPU 2907/3609 POM_5V_CPU 124/143
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,1%@204,7%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41C thermal@30.5C POM_5V_IN 5761/5839 POM_5V_GPU 3780/3634 POM_5V_CPU 123/140
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,8%@204,4%@204,1%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31.75C POM_5V_IN 6379/5907 POM_5V_GPU 4246/3710 POM_5V_CPU 122/138
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,2%@102,1%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@31.75C POM_5V_IN 6112/5930 POM_5V_GPU 3862/3727 POM_5V_CPU 123/136
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,8%@102,1%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 61%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31.25C POM_5V_IN 5176/5854 POM_5V_GPU 3307/3685 POM_5V_CPU 124/135
RAM 1799/3964MB (lfb 74x4MB) SWAP 166/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,1%@102,2%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@30.75C POM_5V_IN 6039/5871 POM_5V_GPU 3938/3708 POM_5V_CPU 123/134
