RAM 1634/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,9%@614,51%@614,7%@614] EMC_FREQ 10%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 5142/5142 POM_5V_GPU 2612/2612 POM_5V_CPU 414/414
RAM 1634/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@614,5%@614,48%@614,4%@614] EMC_FREQ 17%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 5300/5221 POM_5V_GPU 2650/2631 POM_5V_CPU 414/414
RAM 1634/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@710,6%@710,47%@710,3%@710] EMC_FREQ 22%@1600 GR3D_FREQ 86%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@30.5C POM_5V_IN 5184/5208 POM_5V_GPU 2650/2637 POM_5V_CPU 372/400
RAM 1634/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@710,5%@710,47%@710,7%@710] EMC_FREQ 25%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@38C thermal@30.25C POM_5V_IN 5258/5221 POM_5V_GPU 2687/2649 POM_5V_CPU 414/403
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [49%@710,6%@710,5%@710,6%@710] EMC_FREQ 27%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@29.5C AO@38C thermal@30.75C POM_5V_IN 5300/5236 POM_5V_GPU 2650/2649 POM_5V_CPU 455/413
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [50%@710,4%@710,7%@710,3%@710] EMC_FREQ 28%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 5258/5240 POM_5V_GPU 2732/2663 POM_5V_CPU 372/406
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@710,6%@710,6%@710,8%@710] EMC_FREQ 29%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 5300/5248 POM_5V_GPU 2650/2661 POM_5V_CPU 372/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [46%@710,4%@710,6%@710,7%@710] EMC_FREQ 30%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@31C POM_5V_IN 5217/5244 POM_5V_GPU 2691/2665 POM_5V_CPU 372/398
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [48%@710,5%@710,3%@710,7%@710] EMC_FREQ 31%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 5258/5246 POM_5V_GPU 2650/2663 POM_5V_CPU 372/395
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@710,5%@710,7%@710,3%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 5300/5251 POM_5V_GPU 2604/2657 POM_5V_CPU 414/397
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@710,5%@710,10%@710,17%@710] EMC_FREQ 31%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@30C AO@38.5C thermal@31C POM_5V_IN 5258/5252 POM_5V_GPU 2650/2656 POM_5V_CPU 414/398
