RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@403,4%@403,4%@403,3%@403] EMC_FREQ 11%@1600 GR3D_FREQ 82%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 5672/5672 POM_5V_GPU 3266/3266 POM_5V_CPU 288/288
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,1%@204,4%@204,2%@204] EMC_FREQ 17%@1600 GR3D_FREQ 91%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31C POM_5V_IN 5631/5651 POM_5V_GPU 3266/3266 POM_5V_CPU 248/268
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@307,3%@307,3%@307,5%@307] EMC_FREQ 21%@1600 GR3D_FREQ 91%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@39.5C thermal@31C POM_5V_IN 5672/5658 POM_5V_GPU 3348/3293 POM_5V_CPU 247/261
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@307,4%@307,3%@307,5%@307] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 5788/5690 POM_5V_GPU 3467/3336 POM_5V_CPU 206/247
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@307,3%@307,4%@307,2%@307] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.25C POM_5V_IN 5507/5654 POM_5V_GPU 3229/3315 POM_5V_CPU 206/239
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,2%@204,3%@204,4%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.25C POM_5V_IN 5515/5630 POM_5V_GPU 3188/3294 POM_5V_CPU 207/233
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,5%@204,5%@204,3%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.25C POM_5V_IN 5672/5636 POM_5V_GPU 3188/3278 POM_5V_CPU 206/229
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,3%@204,2%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 86%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31C POM_5V_IN 5788/5655 POM_5V_GPU 3348/3287 POM_5V_CPU 206/226
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,2%@204,3%@204,7%@204] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.5C POM_5V_IN 5515/5640 POM_5V_GPU 3188/3276 POM_5V_CPU 207/224
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@204,4%@204,3%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 98%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5391/5615 POM_5V_GPU 3147/3263 POM_5V_CPU 248/226
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,2%@204,2%@204,6%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.5C POM_5V_IN 5746/5627 POM_5V_GPU 3266/3263 POM_5V_CPU 207/225
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@204,0%@204,3%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31C POM_5V_IN 5829/5643 POM_5V_GPU 3426/3277 POM_5V_CPU 206/223
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@204,4%@204,3%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 80%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31.5C POM_5V_IN 5590/5639 POM_5V_GPU 3229/3273 POM_5V_CPU 206/222
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@307,14%@307,5%@307,6%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5672/5642 POM_5V_GPU 3390/3281 POM_5V_CPU 206/221
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,2%@204,3%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5714/5646 POM_5V_GPU 3224/3278 POM_5V_CPU 248/222
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,3%@307,3%@307,5%@307] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.5C POM_5V_IN 5746/5653 POM_5V_GPU 3390/3285 POM_5V_CPU 206/221
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,15%@102,4%@102,18%@204] EMC_FREQ 28%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.5C POM_5V_IN 5200/5626 POM_5V_GPU 3027/3269 POM_5V_CPU 207/220
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,3%@204,4%@204,6%@204] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5548/5622 POM_5V_GPU 3266/3269 POM_5V_CPU 206/220
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@102,7%@102,1%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 70%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.75C POM_5V_IN 5233/5601 POM_5V_GPU 3032/3257 POM_5V_CPU 207/219
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,31%@204,3%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 82%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@31.75C POM_5V_IN 5746/5608 POM_5V_GPU 3467/3267 POM_5V_CPU 206/218
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,29%@204,4%@204,7%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5590/5607 POM_5V_GPU 3229/3265 POM_5V_CPU 206/218
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,30%@204,3%@204,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.75C POM_5V_IN 5746/5614 POM_5V_GPU 3188/3262 POM_5V_CPU 207/217
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,6%@204,15%@204,22%@307] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.75C POM_5V_IN 5474/5608 POM_5V_GPU 3229/3260 POM_5V_CPU 248/218
