Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Avrg_THERMAL,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F256_K2x2_W55_DWS,5,12813337,269327,1170080038,dws,55,1639.2363636363636,213.0,0.0,9.022727272727272,87.76363636363637,36.07272727272727,25.0,24.0,50.0,5226.836363636364,2712.818181818182,170.43636363636364,27.130434782608692,29.32,28.3953488372093,36.475,287476.0,149205.0,9374.0,1359,48.300721645355196,109.79028697571744,6.8977189109639445
convnet_L5_F256_K2x2_W65_DWS,5,16653337,269327,1553515258,dws,65,1658.0,213.0,0.0,8.21875,92.89285714285714,37.60714285714285,25.0,24.09523809523809,50.0,5224.5,2736.8928571428573,154.60714285714286,27.03703703703704,29.387096774193548,28.119565217391305,36.46551724137931,292572.0,153266.0,8658.0,1071,58.6227965354919,143.10550887021475,8.084033613445378
convnet_L5_F256_K2x2_W75_DWS,5,21005337,269327,1991327878,dws,75,1681.446428571429,213.0,0.0,6.928571428571429,91.42857142857144,38.05357142857143,25.0,23.95,50.0,5392.160714285715,2859.8928571428573,134.33928571428572,27.035714285714285,29.375,28.26595744680851,36.45238095238095,301961.0,160154.0,7523.0,852,74.861786365509,187.97417840375587,8.82981220657277
convnet_L5_F256_K2x2_W85_DWS,5,25869337,269327,2483517898,dws,85,1704.033898305085,213.0,0.0,6.398305084745763,93.0,38.79661016949152,25.0,23.892857142857142,50.0,5498.135593220339,2857.1186440677966,141.67796610169492,27.0,29.27777777777778,28.122222222222224,36.20588235294117,324390.0,168570.0,8359.0,701,86.57673358917229,240.47075606276746,11.924393723252496
convnet_L5_F256_K2x2_W95_DWS,5,31245337,269327,3030085318,dws,95,1730.0,213.0,0.0,5.9868421052631575,93.64912280701756,23.28070175438597,25.0,23.870967741935484,50.0,5169.245614035088,2974.0175438596493,130.28070175438597,26.764705882352946,29.4375,28.05,36.40625,294647.0,169519.0,7426.0,639,95.85958957672119,265.2879499217527,11.621283255086071
convnet_L5_F256_K3x3_W65_DWS,5,11090472,274462,1170417960,dws,65,1637.8103448275865,213.0,0.0,9.702586206896552,85.3103448275862,36.672413793103445,25.0,23.807692307692307,50.0,5305.6551724137935,2762.689655172414,170.13793103448276,26.774193548387096,29.08823529411765,27.9,35.94444444444444,307728.0,160236.0,9868.0,1508,38.5702347755432,106.25729442970822,6.543766578249337
convnet_L5_F256_K3x3_W75_DWS,5,14674472,274462,1558248760,dws,75,1655.7543859649122,213.0,0.0,8.12719298245614,84.66666666666667,38.56140350877193,25.0,24.045454545454547,50.0,5423.719298245615,2899.842105263158,157.57894736842104,26.93103448275862,29.41379310344828,28.164634146341463,36.4,309152.0,165291.0,8982.0,1193,49.5430135726928,138.55071248952223,7.528918692372171
convnet_L5_F256_K3x3_W85_DWS,5,18770472,274462,2001483960,dws,85,1677.3454545454545,213.0,0.0,7.368181818181818,92.6,39.054545454545455,25.0,23.952380952380956,50.0,5411.363636363636,2818.7272727272725,144.4909090909091,26.95833333333333,29.205882352941178,28.162790697674417,35.92424242424242,297625.0,155030.0,7947.0,943,62.7942538261413,164.40084835630964,8.427359490986214
convnet_L5_F256_K3x3_W95_DWS,5,23378472,274462,2500123560,dws,95,1699.0169491525423,213.0,0.0,7.152542372881356,91.8813559322034,25.033898305084747,25.0,23.655172413793103,50.0,5304.406779661017,3024.508474576271,149.6949152542373,26.892857142857142,29.32258064516129,28.135416666666668,36.42105263157895,312960.0,178446.0,8832.0,870,67.463629245758,205.1103448275862,10.151724137931035
convnet_L5_F256_K4x4_W65_DWS,5,12825661,281651,1334110166,dws,65,1649.0,213.0,0.0,7.8,91.05454545454543,31.90909090909091,25.0,24.0,50.0,5191.018181818182,2835.5636363636363,154.56363636363636,26.785714285714285,29.216216216216218,28.10810810810811,36.25,285506.0,155956.0,8501.0,1135,52.0880126953125,137.40616740088106,7.4898678414096915
