Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L10_F256_K2x2_W25_DWS,0.036235520839691164,1.6689300537109375e-06,0.0006320476531982422
convnet_L10_F256_K2x2_W35_DWS,0.05354867219924927,1.430511474609375e-06,0.0008251667022705078
convnet_L10_F256_K2x2_W45_DWS,0.07047152042388916,1.1920928955078125e-06,0.0006120204925537109
convnet_L10_F256_K2x2_W55_DWS,0.08443831920623779,2.1457672119140625e-06,0.001470327377319336
convnet_L10_F256_K2x2_W65_DWS,0.10889581203460694,3.0994415283203125e-06,0.0015935897827148438
convnet_L10_F256_K2x2_W75_DWS,0.13104457139968873,1.430511474609375e-06,0.0006320476531982422
convnet_L10_F256_K2x2_W85_DWS,0.17119197368621827,1.430511474609375e-06,0.0006372928619384766
convnet_L10_F256_K2x2_W95_DWS,0.19028901815414428,1.1920928955078125e-06,0.0006797313690185547
convnet_L10_F256_K3x3_W45_DWS,0.029755239486694337,1.430511474609375e-06,0.000782012939453125
convnet_L10_F256_K3x3_W55_DWS,0.040084598064422605,1.1920928955078125e-06,0.0006399154663085938
convnet_L10_F256_K3x3_W65_DWS,0.062220203876495364,1.1920928955078125e-06,0.0006396770477294922
convnet_L10_F256_K3x3_W75_DWS,0.07931894063949585,1.1920928955078125e-06,0.0006489753723144531
convnet_L10_F256_K3x3_W85_DWS,0.0939615511894226,1.430511474609375e-06,0.00072479248046875
convnet_L10_F256_K3x3_W95_DWS,0.11385917901992798,1.1920928955078125e-06,0.000690460205078125
convnet_L10_F256_K4x4_W35_DWS,0.03512896060943604,2.6226043701171875e-06,0.0010073184967041016
convnet_L10_F256_K4x4_W45_DWS,0.05108452081680298,1.430511474609375e-06,0.0006489753723144531
convnet_L10_F256_K4x4_W55_DWS,0.06947530746459961,2.384185791015625e-06,0.0009157657623291016
convnet_L10_F256_K4x4_W65_DWS,0.09827864646911622,1.9073486328125e-06,0.0008318424224853516
convnet_L10_F256_K4x4_W75_DWS,0.12531791925430297,2.86102294921875e-06,0.0012652873992919922
convnet_L10_F256_K4x4_W85_DWS,0.15567497968673705,3.337860107421875e-06,0.0013337135314941406
convnet_L10_F256_K4x4_W95_DWS,0.1914948058128357,9.5367431640625e-07,0.0008671283721923828
convnet_L10_F256_K5x5_W45_DWS,0.04655970096588135,1.1920928955078125e-06,0.0006885528564453125
convnet_L10_F256_K5x5_W55_DWS,0.06339607000350952,3.0994415283203125e-06,0.0010306835174560547
convnet_L10_F256_K5x5_W65_DWS,0.08824617385864258,1.1920928955078125e-06,0.0006165504455566406
convnet_L10_F256_K5x5_W75_DWS,0.11924043416976929,2.6226043701171875e-06,0.0012302398681640625
convnet_L10_F256_K5x5_W85_DWS,0.14543420553207398,1.1920928955078125e-06,0.0006811618804931641
convnet_L10_F256_K5x5_W95_DWS,0.1886703848838806,1.9073486328125e-06,0.0006861686706542969
convnet_L10_F288_K2x2_W100_DWS,0.2714433789253235,1.430511474609375e-06,0.0007176399230957031
convnet_L10_F288_K2x2_W20_DWS,0.035760812759399414,1.430511474609375e-06,0.0006358623504638672
convnet_L10_F288_K2x2_W25_DWS,0.04131244421005249,2.6226043701171875e-06,0.0013043880462646484
convnet_L10_F288_K2x2_W30_DWS,0.05331319093704224,9.5367431640625e-07,0.0006127357482910156
convnet_L10_F288_K2x2_W35_DWS,0.06306312084197999,1.1920928955078125e-06,0.0006253719329833984
convnet_L10_F288_K2x2_W40_DWS,0.07437944173812866,9.5367431640625e-07,0.000640869140625
convnet_L10_F288_K2x2_W45_DWS,0.08395097970962524,2.6226043701171875e-06,0.001474618911743164
convnet_L10_F288_K2x2_W50_DWS,0.09697570085525513,9.5367431640625e-07,0.0006592273712158203
convnet_L10_F288_K2x2_W55_DWS,0.10971587657928467,1.430511474609375e-06,0.0006823539733886719
convnet_L10_F288_K2x2_W60_DWS,0.12527924060821533,1.430511474609375e-06,0.0006201267242431641
convnet_L10_F288_K2x2_W65_DWS,0.13183647871017456,1.430511474609375e-06,0.000942230224609375
convnet_L10_F288_K2x2_W70_DWS,0.1451956844329834,1.430511474609375e-06,0.0006198883056640625
convnet_L10_F288_K2x2_W75_DWS,0.16217970132827758,1.1920928955078125e-06,0.0006365776062011719
convnet_L10_F288_K2x2_W80_DWS,0.17868371725082396,3.337860107421875e-06,0.0007078647613525391
convnet_L10_F288_K2x2_W85_DWS,0.20667131662368773,1.430511474609375e-06,0.0006635189056396484
convnet_L10_F288_K2x2_W90_DWS,0.21414592027664184,1.430511474609375e-06,0.0006356239318847656
convnet_L10_F288_K2x2_W95_DWS,0.23600884437561034,1.430511474609375e-06,0.0006706714630126953
convnet_L10_F288_K3x3_W100_DWS,0.15799205064773558,2.1457672119140625e-06,0.0006706714630126953
convnet_L10_F288_K3x3_W40_DWS,0.028725368976593016,1.9073486328125e-06,0.0006134510040283203
convnet_L10_F288_K3x3_W45_DWS,0.03365866184234619,1.430511474609375e-06,0.0006206035614013672
convnet_L10_F288_K3x3_W50_DWS,0.04209316730499268,2.6226043701171875e-06,0.0014009475708007812
convnet_L10_F288_K3x3_W55_DWS,0.050570597648620604,1.430511474609375e-06,0.0005948543548583984
convnet_L10_F288_K3x3_W60_DWS,0.0641702675819397,1.6689300537109375e-06,0.0006365776062011719
convnet_L10_F288_K3x3_W65_DWS,0.07098706483840943,4.291534423828125e-06,0.0014705657958984375
convnet_L10_F288_K3x3_W70_DWS,0.08080926179885864,9.5367431640625e-07,0.000637054443359375
convnet_L10_F288_K3x3_W75_DWS,0.09130115509033203,2.1457672119140625e-06,0.0011343955993652344
convnet_L10_F288_K3x3_W80_DWS,0.10840029954910278,1.1920928955078125e-06,0.0006160736083984375
convnet_L10_F288_K3x3_W85_DWS,0.1223111891746521,1.6689300537109375e-06,0.0006325244903564453
