RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,7%@518,2%@518,2%@518] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28C POM_5V_IN 6109/6109 POM_5V_GPU 3756/3756 POM_5V_CPU 206/206
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,3%@204,4%@204,3%@307] EMC_FREQ 16%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37.5C thermal@28C POM_5V_IN 5953/6031 POM_5V_GPU 3715/3735 POM_5V_CPU 165/185
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,2%@204,2%@204,6%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.5C POM_5V_IN 5755/5939 POM_5V_GPU 3596/3689 POM_5V_CPU 165/178
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,3%@204,3%@204,6%@204] EMC_FREQ 21%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28.5C POM_5V_IN 5755/5893 POM_5V_GPU 3596/3665 POM_5V_CPU 206/185
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [26%@204,3%@204,6%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 79%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@26.5C AO@38C thermal@28.25C POM_5V_IN 5838/5882 POM_5V_GPU 3679/3668 POM_5V_CPU 165/181
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,6%@204,3%@204,4%@204] EMC_FREQ 24%@1600 GR3D_FREQ 68%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.5C POM_5V_IN 5829/5873 POM_5V_GPU 3679/3670 POM_5V_CPU 165/178
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,3%@204,4%@204,5%@204] EMC_FREQ 24%@1600 GR3D_FREQ 69%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.75C POM_5V_IN 5829/5866 POM_5V_GPU 3679/3671 POM_5V_CPU 165/176
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [28%@102,7%@204,2%@204,2%@204] EMC_FREQ 25%@1600 GR3D_FREQ 66%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38.5C thermal@28.5C POM_5V_IN 5797/5858 POM_5V_GPU 3638/3667 POM_5V_CPU 165/175
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@102,1%@102,3%@102,6%@102] EMC_FREQ 25%@1600 GR3D_FREQ 75%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@28.5C POM_5V_IN 5838/5855 POM_5V_GPU 3720/3673 POM_5V_CPU 165/174
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,3%@204,6%@204,3%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28.75C POM_5V_IN 5912/5861 POM_5V_GPU 3679/3673 POM_5V_CPU 165/173
RAM 1607/3964MB (lfb 146x4MB) SWAP 203/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,5%@204,0%@204,5%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.75C POM_5V_IN 5953/5869 POM_5V_GPU 3561/3663 POM_5V_CPU 165/172
