RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,1%@307,0%@307,0%@307] EMC_FREQ 11%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@28.75C POM_5V_IN 5049/5049 POM_5V_GPU 2708/2708 POM_5V_CPU 124/124
RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,3%@102,1%@102,2%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@36C thermal@28.25C POM_5V_IN 5524/5286 POM_5V_GPU 3073/2890 POM_5V_CPU 124/124
RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,4%@102,1%@204,2%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@28.75C POM_5V_IN 6068/5547 POM_5V_GPU 4039/3273 POM_5V_CPU 123/123
RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,1%@102,4%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28C POM_5V_IN 5985/5656 POM_5V_GPU 3956/3444 POM_5V_CPU 123/123
RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,3%@204,4%@204,5%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@39C thermal@29C POM_5V_IN 5746/5674 POM_5V_GPU 3762/3507 POM_5V_CPU 123/123
RAM 1717/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,4%@102,0%@102,0%@102] EMC_FREQ 25%@1600 GR3D_FREQ 63%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38C thermal@29C POM_5V_IN 5482/5642 POM_5V_GPU 3276/3469 POM_5V_CPU 124/123
RAM 1718/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,4%@204,2%@204,0%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@29C POM_5V_IN 5049/5557 POM_5V_GPU 2666/3354 POM_5V_CPU 124/123
RAM 1718/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,3%@204,0%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.5C POM_5V_IN 5797/5587 POM_5V_GPU 3436/3364 POM_5V_CPU 124/123
RAM 1718/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,3%@204,1%@204,1%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@39C thermal@29.25C POM_5V_IN 5953/5628 POM_5V_GPU 3921/3426 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,5%@102,4%@102,3%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@39C thermal@28.5C POM_5V_IN 5944/5659 POM_5V_GPU 3880/3471 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 110x4MB) SWAP 174/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,4%@204,2%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31C PMIC@50C GPU@27.5C AO@39C thermal@28.75C POM_5V_IN 5598/5654 POM_5V_GPU 3478/3472 POM_5V_CPU 124/123
