RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,8%@307,3%@307,2%@307] EMC_FREQ 12%@1600 GR3D_FREQ 63%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5283/5283 POM_5V_GPU 3239/3239 POM_5V_CPU 124/124
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,10%@204,1%@204,3%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27.5C AO@35.5C thermal@28.75C POM_5V_IN 5449/5366 POM_5V_GPU 3120/3179 POM_5V_CPU 124/124
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,11%@102,3%@102,4%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 6150/5627 POM_5V_GPU 3720/3359 POM_5V_CPU 124/124
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,12%@102,4%@102,1%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28.5C POM_5V_IN 6491/5843 POM_5V_GPU 4266/3586 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,11%@204,3%@204,3%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27C AO@38.5C thermal@28.75C POM_5V_IN 6378/5950 POM_5V_GPU 4067/3682 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,10%@102,4%@204,4%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@30C PMIC@50C GPU@26C AO@38C thermal@28.75C POM_5V_IN 5870/5936 POM_5V_GPU 3756/3694 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,15%@403,5%@403,3%@403] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5041/5808 POM_5V_GPU 2995/3594 POM_5V_CPU 124/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,9%@102,4%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27.5C AO@36.5C thermal@29C POM_5V_IN 5640/5787 POM_5V_GPU 3281/3555 POM_5V_CPU 124/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,6%@204,1%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28.5C POM_5V_IN 6574/5875 POM_5V_GPU 4149/3621 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,3%@204,3%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 6450/5932 POM_5V_GPU 4184/3677 POM_5V_CPU 123/123
RAM 1718/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,2%@204,3%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@31C PMIC@50C GPU@27.5C AO@39C thermal@29.25C POM_5V_IN 6296/5965 POM_5V_GPU 4067/3713 POM_5V_CPU 123/123
