Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_AO,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_THERMAL,Avrg_GPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F192_K3x3_W80,2,12625354,2171289610,ConvNet,80,1699.5862068965516,215.0,0.0,7.831896551724138,86.96551724137932,52.12068965517241,25.0,25.25,30.43478260869565,50.0,36.86111111111112,5638.724137931034,2890.2758620689656,132.5,29.071428571428573,27.95,327046.0,167636.0,7685.0,1747.0,34.8805260658264,95.95649685174585,4.3989696622781915
convnet_L2_F192_K3x3_W85,2,14209354,2451182410,ConvNet,85,1711.0,215.0,0.0,6.805084745762712,87.7457627118644,49.49152542372882,25.0,25.9375,30.74074074074074,50.0,37.59090909090909,5650.779661016949,2914.508474576271,133.28813559322035,29.675531914893615,28.65217391304348,333396.0,171956.0,7864.0,1423.0,41.052873134612994,120.84047786366831,5.52635277582572
convnet_L2_F192_K3x3_W90,2,15889354,2748038410,ConvNet,90,1716.0169491525423,215.0,0.0,6.423728813559322,88.42372881355932,49.54237288135593,25.0,25.96153846153846,30.875,50.0,37.72857142857143,5688.474576271186,2920.576271186441,133.98305084745763,29.71195652173913,28.96551724137931,335620.0,172314.0,7905.0,1284.0,45.9850049018859,134.20093457943926,6.156542056074766
convnet_L2_F192_K3x3_W95,2,17665354,3061857610,ConvNet,95,1729.033898305085,215.0,0.0,6.1440677966101696,89.20338983050847,51.50847457627118,25.0,26.03125,30.866666666666667,50.0,37.69230769230769,5692.084745762712,2927.983050847457,134.89830508474577,29.791666666666668,28.967741935483872,335833.0,172751.0,7959.0,1243.0,49.705114364624,138.97908286403862,6.40305711987128
convnet_L2_F192_K3x3_W100,2,19537354,3392640010,ConvNet,100,1740.0169491525423,215.0,0.0,5.627118644067797,89.55932203389831,53.932203389830505,25.0,22.89655172413793,27.892857142857142,50.0,34.403225806451616,5887.847457627118,3033.898305084746,126.10169491525424,26.651041666666668,25.75862068965517,347383.0,179000.0,7440.0,1106.0,54.3967604637146,161.84448462929475,6.726943942133816
convnet_L2_F192_K4x4_W60,2,7979914,2310409162,ConvNet,60,1673.0,215.0,0.0,6.703389830508475,86.96610169491525,23.610169491525426,25.0,26.266666666666666,32.666666666666664,50.0,39.97368421052632,5704.762711864407,3541.728813559322,136.22033898305085,31.0609756097561,29.714285714285715,336581.0,208962.0,8037.0,1522.0,40.1475286483764,137.29434954007885,5.2805519053876475
convnet_L2_F192_K4x4_W65,2,9218314,2698181962,ConvNet,65,1681.0,215.0,0.0,5.741525423728813,88.98305084745763,24.406779661016948,25.0,26.26923076923077,32.833333333333336,50.0,39.6875,5820.864406779661,3631.4406779661017,128.0,31.022727272727277,29.676470588235293,343431.0,214255.0,7552.0,1336.0,46.3947892189025,160.37050898203591,5.652694610778443
convnet_L2_F192_K4x4_W70,2,10552714,3116021962,ConvNet,70,1689.0,215.0,0.0,5.538135593220339,89.37288135593221,25.23728813559322,25.0,26.37037037037037,32.62068965517241,50.0,40.14516129032258,5925.406779661017,3684.0,127.83050847457628,31.106382978723403,29.81578947368421,349599.0,217356.0,7542.0,1198.0,49.2848491668701,181.432387312187,6.295492487479132
convnet_L2_F192_K4x4_W75,2,11983114,3563929162,ConvNet,75,1695.2372881355932,215.0,0.0,5.440677966101695,90.27118644067797,14.610169491525424,25.0,26.535714285714285,32.93333333333333,50.0,40.6,5823.135593220339,3848.576271186441,132.9322033898305,31.335227272727277,29.88888888888889,343565.0,227066.0,7843.0,1145.0,52.734546661376896,198.31091703056768,6.849781659388646
convnet_L2_F192_K4x4_W80,2,13509514,4041903562,ConvNet,80,1704.084745762712,215.0,0.0,4.898305084745763,90.77966101694916,26.033898305084747,25.0,26.451612903225808,32.666666666666664,50.0,40.18421052631579,5969.610169491525,3714.491525423729,125.84745762711864,31.07386363636364,29.696969696969692,352207.0,219155.0,7425.0,929.0,63.83353710174559,235.90419806243273,7.992465016146394
convnet_L2_F192_K4x4_W85,2,15131914,4549945162,ConvNet,85,1712.050847457627,215.0,0.0,4.47457627118644,90.77966101694916,26.15254237288136,25.0,26.676470588235293,33.02564102564103,50.0,40.375,5985.71186440678,3781.084745762712,136.6949152542373,31.24390243902439,29.714285714285715,353157.0,223084.0,8065.0,827.0,71.55916929244991,269.7509068923821,9.752116082224909
convnet_L2_F192_K4x4_W90,2,16850314,5088053962,ConvNet,90,1717.593220338983,215.0,0.0,4.067796610169491,90.42372881355932,25.203389830508478,25.0,26.9375,33.32258064516129,50.0,40.56666666666667,5928.338983050848,3614.0508474576272,139.64406779661016,31.17708333333333,29.83333333333333,349772.0,213229.0,8239.0,713.0,82.8121423721313,299.05890603085555,11.55539971949509
convnet_L2_F192_K4x4_W95,2,18664714,5656229962,ConvNet,95,1733.7627118644068,215.0,0.0,4.313559322033898,89.88135593220339,27.135593220338983,25.0,27.21875,33.43333333333333,50.0,41.12857142857143,6093.71186440678,3811.101694915254,127.40677966101696,31.670454545454547,30.285714285714285,359529.0,224855.0,7517.0,685.0,87.1200323104858,328.2554744525547,10.973722627737226
convnet_L2_F192_K4x4_W100,2,20575114,6254473162,ConvNet,100,1738.9830508474577,215.0,0.0,3.8559322033898304,89.76271186440678,27.203389830508478,25.0,26.666666666666668,32.766666666666666,50.0,40.625,6096.932203389831,3840.864406779661,130.71186440677965,31.30392156862745,29.7,359719.0,226611.0,7712.0,616.0,95.9406471252441,367.875,12.519480519480519
convnet_L2_F224_K2x2_W95,2,23054090,2100483626,ConvNet,95,1990.5593220338983,215.0,0.0,6.656779661016949,91.69491525423727,37.32203389830509,25.0,26.0,30.666666666666668,50.0,37.33870967741935,5226.661016949152,2610.254237288136,148.98305084745763,29.76875,28.8,308373.0,154005.0,8790.0,882.0,67.7277827262878,174.60884353741497,9.965986394557824
convnet_L2_F224_K2x2_W100,2,25372490,2313689066,ConvNet,100,2001.322033898305,215.0,0.0,5.686440677966102,92.08474576271186,33.983050847457626,25.0,26.0,31.2,50.0,37.5,5150.813559322034,2582.508474576271,132.66101694915255,29.83510638297872,29.0,303898.0,152368.0,7827.0,729.0,81.97597503662101,209.0096021947874,10.736625514403292
convnet_L2_F224_K3x3_W70,2,11434090,2255568010,ConvNet,70,1693.0,215.0,0.0,7.6525423728813555,84.62711864406779,49.33898305084746,25.0,26.125,31.52,50.0,38.25757575757576,5785.186440677966,3045.186440677966,142.3050847457627,30.217391304347824,29.047619047619047,341326.0,179666.0,8396.0,1675.0,37.4540567398071,107.26328358208956,5.012537313432836
