Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L2_F192_K3x3_W100,0.0543967604637146,1.430511474609375e-06,0.0006551742553710938
convnet_L2_F192_K3x3_W80,0.034880526065826416,3.0994415283203125e-06,0.0008134841918945312
convnet_L2_F192_K3x3_W85,0.04105287313461304,1.430511474609375e-06,0.0006282329559326172
convnet_L2_F192_K3x3_W90,0.045985004901885985,1.1920928955078125e-06,0.0006504058837890625
convnet_L2_F192_K3x3_W95,0.04970511436462402,1.430511474609375e-06,0.0007064342498779297
convnet_L2_F192_K4x4_W100,0.09594064712524414,1.430511474609375e-06,0.0006475448608398438
convnet_L2_F192_K4x4_W60,0.040147528648376465,1.430511474609375e-06,0.0006604194641113281
convnet_L2_F192_K4x4_W65,0.04639478921890259,2.6226043701171875e-06,0.0016293525695800781
convnet_L2_F192_K4x4_W70,0.04928484916687012,2.6226043701171875e-06,0.0015590190887451172
convnet_L2_F192_K4x4_W75,0.05273454666137695,1.6689300537109375e-06,0.0006463527679443359
convnet_L2_F192_K4x4_W80,0.06383353710174561,1.6689300537109375e-06,0.0006017684936523438
convnet_L2_F192_K4x4_W85,0.07155916929244995,3.5762786865234375e-06,0.001407623291015625
convnet_L2_F192_K4x4_W90,0.08281214237213134,1.1920928955078125e-06,0.0006537437438964844
convnet_L2_F192_K4x4_W95,0.08712003231048585,1.1920928955078125e-06,0.0006656646728515625
convnet_L2_F224_K2x2_W100,0.08197597503662109,1.6689300537109375e-06,0.0006847381591796875
convnet_L2_F224_K2x2_W95,0.06772778272628784,1.6689300537109375e-06,0.0007104873657226562
convnet_L2_F224_K3x3_W100,0.06595125198364257,9.5367431640625e-07,0.0006804466247558594
convnet_L2_F224_K3x3_W70,0.03745405673980713,2.86102294921875e-06,0.0016117095947265625
convnet_L2_F224_K3x3_W75,0.038125154972076414,1.1920928955078125e-06,0.0006923675537109375
convnet_L2_F224_K3x3_W80,0.04169617891311646,3.0994415283203125e-06,0.0012638568878173828
convnet_L2_F224_K3x3_W85,0.04926802158355713,1.1920928955078125e-06,0.000640869140625
convnet_L2_F224_K3x3_W90,0.05517796993255615,2.6226043701171875e-06,0.0010058879852294922
convnet_L2_F224_K3x3_W95,0.057861907482147215,9.5367431640625e-07,0.0006823539733886719
convnet_L2_F224_K4x4_W100,0.13444896459579467,9.5367431640625e-07,0.0006508827209472656
convnet_L2_F224_K4x4_W50,0.039786856174469,1.1920928955078125e-06,0.0006403923034667969
convnet_L2_F224_K4x4_W55,0.04475986957550049,1.1920928955078125e-06,0.0006339550018310547
convnet_L2_F224_K4x4_W60,0.04981239557266235,1.430511474609375e-06,0.0006213188171386719
convnet_L2_F224_K4x4_W65,0.06061903476715088,1.1920928955078125e-06,0.0006399154663085938
convnet_L2_F224_K4x4_W70,0.0675595211982727,1.430511474609375e-06,0.0009474754333496094
convnet_L2_F224_K4x4_W75,0.07832088470458984,1.430511474609375e-06,0.0006804466247558594
convnet_L2_F224_K4x4_W80,0.0874797511100769,1.430511474609375e-06,0.0006043910980224609
convnet_L2_F224_K4x4_W85,0.09904466152191162,1.6689300537109375e-06,0.0006325244903564453
convnet_L2_F224_K4x4_W90,0.1076706576347351,1.1920928955078125e-06,0.0006885528564453125
convnet_L2_F224_K4x4_W95,0.12095815181732178,1.430511474609375e-06,0.00067138671875
convnet_L2_F256_K2x2_W85,0.064549400806427,1.430511474609375e-06,0.0006840229034423828
convnet_L2_F256_K2x2_W95,0.07744520664215088,9.5367431640625e-07,0.0007293224334716797
convnet_L2_F256_K3x3_W65,0.039021177291870116,1.1920928955078125e-06,0.0006299018859863281
convnet_L2_F256_K3x3_W75,0.04697373390197754,1.430511474609375e-06,0.0006585121154785156
convnet_L2_F256_K3x3_W85,0.0598622465133667,1.430511474609375e-06,0.0006392002105712891
