model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L2_F192_K3x3_W100,convnet_L2_F192_K3x3_W100.trt,1106,66.21737265586853,5.636831998825073,7.152557373046875e-07,60.147401094436646,0.0536791896733841
convnet_L2_F192_K3x3_W80,convnet_L2_F192_K3x3_W80.trt,1747,65.18832540512085,4.909255027770996,7.152557373046875e-07,60.10496759414673,0.03375208480192991
convnet_L2_F192_K3x3_W85,convnet_L2_F192_K3x3_W85.trt,1423,66.0267231464386,5.562845945358276,9.5367431640625e-07,60.12908673286438,0.041547786494165934
convnet_L2_F192_K3x3_W90,convnet_L2_F192_K3x3_W90.trt,1284,65.9044988155365,5.551617383956909,7.152557373046875e-07,60.132481813430786,0.046112479450546695
convnet_L2_F192_K3x3_W95,convnet_L2_F192_K3x3_W95.trt,1243,65.3999330997467,5.054856061935425,7.152557373046875e-07,60.12025284767151,0.0476478916545693
convnet_L2_F192_K4x4_W100,convnet_L2_F192_K4x4_W100.trt,616,65.40781164169312,4.974270582199097,7.152557373046875e-07,60.133121728897095,0.09678453477946194
convnet_L2_F192_K4x4_W60,convnet_L2_F192_K4x4_W60.trt,1522,65.91508340835571,5.416785717010498,4.76837158203125e-07,60.11308741569519,0.03886944157378589
convnet_L2_F192_K4x4_W65,convnet_L2_F192_K4x4_W65.trt,1336,66.06319189071655,5.539942741394043,7.152557373046875e-07,60.13661336898804,0.04440483665038012
convnet_L2_F192_K4x4_W70,convnet_L2_F192_K4x4_W70.trt,1198,65.83817720413208,5.397574424743652,4.76837158203125e-07,60.11759829521179,0.04952539784681419
convnet_L2_F192_K4x4_W75,convnet_L2_F192_K4x4_W75.trt,1145,66.17371892929077,5.4476399421691895,7.152557373046875e-07,60.15087699890137,0.05186179569194411
convnet_L2_F192_K4x4_W80,convnet_L2_F192_K4x4_W80.trt,929,65.96749639511108,5.5635106563568115,7.152557373046875e-07,60.14010691642761,0.0639611304255425
convnet_L2_F192_K4x4_W85,convnet_L2_F192_K4x4_W85.trt,827,66.0815315246582,5.629072189331055,9.5367431640625e-07,60.17189812660217,0.07196502472209815
convnet_L2_F192_K4x4_W90,convnet_L2_F192_K4x4_W90.trt,713,66.26571249961853,5.628827810287476,4.76837158203125e-07,60.12054371833801,0.08351668000722834
convnet_L2_F192_K4x4_W95,convnet_L2_F192_K4x4_W95.trt,685,65.42957377433777,4.993646144866943,4.76837158203125e-07,60.15060257911682,0.08696409942459886
convnet_L2_F224_K2x2_W100,convnet_L2_F224_K2x2_W100.trt,729,67.23129200935364,5.190025329589844,7.152557373046875e-07,60.192431926727295,0.08173783620198567
convnet_L2_F224_K2x2_W95,convnet_L2_F224_K2x2_W95.trt,882,67.72044706344604,5.541388511657715,4.76837158203125e-07,60.160839796066284,0.06737098780348728
convnet_L2_F224_K3x3_W100,convnet_L2_F224_K3x3_W100.trt,893,65.5469479560852,5.123088598251343,7.152557373046875e-07,60.11626434326172,0.06654145843104313
convnet_L2_F224_K3x3_W70,convnet_L2_F224_K3x3_W70.trt,1675,65.32245922088623,5.016354084014893,7.152557373046875e-07,60.11643385887146,0.0351991429969446
convnet_L2_F224_K3x3_W75,convnet_L2_F224_K3x3_W75.trt,1699,65.98140263557434,5.501428604125977,9.5367431640625e-07,60.11988377571106,0.03468628375932987
convnet_L2_F224_K3x3_W80,convnet_L2_F224_K3x3_W80.trt,1442,65.51408505439758,5.1784303188323975,4.76837158203125e-07,60.12572383880615,0.040991560761376326
convnet_L2_F224_K3x3_W85,convnet_L2_F224_K3x3_W85.trt,1195,65.40539622306824,5.025155544281006,9.5367431640625e-07,60.15629196166992,0.049606725461313415
convnet_L2_F224_K3x3_W90,convnet_L2_F224_K3x3_W90.trt,1078,65.43257927894592,5.061993598937988,9.5367431640625e-07,60.15465068817139,0.05504473131530139
convnet_L2_F224_K3x3_W95,convnet_L2_F224_K3x3_W95.trt,1038,65.50843262672424,5.113322019577026,4.76837158203125e-07,60.12630224227905,0.057210502826639226
convnet_L2_F224_K4x4_W100,convnet_L2_F224_K4x4_W100.trt,444,65.6424412727356,5.1677939891815186,9.5367431640625e-07,60.140753746032715,0.1345045002731117
convnet_L2_F224_K4x4_W50,convnet_L2_F224_K4x4_W50.trt,1511,65.8728301525116,5.484189748764038,7.152557373046875e-07,60.111435890197754,0.039082886603082116
convnet_L2_F224_K4x4_W55,convnet_L2_F224_K4x4_W55.trt,1280,66.0074679851532,5.414425373077393,7.152557373046875e-07,60.12403392791748,0.046234147250652315
convnet_L2_F224_K4x4_W60,convnet_L2_F224_K4x4_W60.trt,1194,65.78078436851501,5.379162549972534,7.152557373046875e-07,60.14474654197693,0.04965431167053018
convnet_L2_F224_K4x4_W65,convnet_L2_F224_K4x4_W65.trt,978,65.90397310256958,5.420759677886963,7.152557373046875e-07,60.12945199012756,0.06071969702199924
convnet_L2_F224_K4x4_W70,convnet_L2_F224_K4x4_W70.trt,872,66.3683066368103,5.547665596008301,9.5367431640625e-07,60.12192988395691,0.06816623024984238
convnet_L2_F224_K4x4_W75,convnet_L2_F224_K4x4_W75.trt,766,65.56921529769897,5.16867470741272,1.1920928955078125e-06,60.1294207572937,0.07768566925905392
