RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,7%@204,1%@204,5%@204] EMC_FREQ 7%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@28C POM_5V_IN 6409/6409 POM_5V_GPU 4382/4382 POM_5V_CPU 122/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,16%@102,1%@102] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32C POM_5V_IN 6286/6347 POM_5V_GPU 4348/4365 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@204,13%@204,3%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42C thermal@31.5C POM_5V_IN 6245/6313 POM_5V_GPU 4348/4359 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,14%@102,3%@102] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30C AO@41.5C thermal@32C POM_5V_IN 6399/6334 POM_5V_GPU 4464/4385 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@204,15%@204,4%@204] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@31.75C POM_5V_IN 6286/6325 POM_5V_GPU 4307/4369 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,13%@102,3%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 6245/6311 POM_5V_GPU 4348/4366 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,12%@102,2%@102] EMC_FREQ 15%@1600 GR3D_FREQ 80%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@31.75C POM_5V_IN 6204/6296 POM_5V_GPU 4307/4357 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,13%@102,1%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6399/6309 POM_5V_GPU 4307/4351 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@204,14%@204,1%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6068/6282 POM_5V_GPU 3874/4298 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,12%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 5861/6240 POM_5V_GPU 3956/4264 POM_5V_CPU 123/122
RAM 1677/3964MB (lfb 62x4MB) SWAP 247/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,13%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 6090/6226 POM_5V_GPU 4149/4253 POM_5V_CPU 123/122
