RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,13%@403,15%@403,3%@403] EMC_FREQ 11%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@29C POM_5V_IN 5041/5041 POM_5V_GPU 2533/2533 POM_5V_CPU 166/166
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,14%@204,3%@204,4%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29.25C POM_5V_IN 4923/4982 POM_5V_GPU 2628/2580 POM_5V_CPU 125/145
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,7%@204,3%@204,1%@204] EMC_FREQ 20%@1600 GR3D_FREQ 97%@921 APE 25 PLL@25C CPU@29.5C PMIC@50C GPU@28C AO@37C thermal@28.5C POM_5V_IN 4240/4734 POM_5V_GPU 2179/2446 POM_5V_CPU 125/138
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,2%@102,6%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@28.5C POM_5V_IN 5358/4890 POM_5V_GPU 2990/2582 POM_5V_CPU 124/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,2%@204,3%@204,2%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@28.5C POM_5V_IN 4569/4826 POM_5V_GPU 2263/2518 POM_5V_CPU 167/141
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,1%@102,2%@102,0%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29.75C POM_5V_IN 5432/4927 POM_5V_GPU 3156/2624 POM_5V_CPU 124/138
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,4%@102,2%@102,2%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29.75C POM_5V_IN 4527/4870 POM_5V_GPU 2221/2567 POM_5V_CPU 167/142
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,2%@204,2%@204,1%@204] EMC_FREQ 26%@1600 GR3D_FREQ 56%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.75C POM_5V_IN 5083/4896 POM_5V_GPU 2990/2620 POM_5V_CPU 124/140
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,1%@102,4%@102,2%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@29.5C POM_5V_IN 4806/4886 POM_5V_GPU 2469/2603 POM_5V_CPU 125/138
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,2%@307,2%@307,3%@307] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 5324/4930 POM_5V_GPU 2912/2634 POM_5V_CPU 124/137
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,5%@102,9%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@36.5C thermal@29.25C POM_5V_IN 4240/4867 POM_5V_GPU 2179/2592 POM_5V_CPU 125/136
RAM 2007/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,10%@102,9%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.75C POM_5V_IN 5399/4911 POM_5V_GPU 2995/2626 POM_5V_CPU 124/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,12%@102,7%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@37C thermal@29.25C POM_5V_IN 4282/4863 POM_5V_GPU 2221/2595 POM_5V_CPU 167/137
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,4%@102,2%@102,4%@102] EMC_FREQ 27%@1600 GR3D_FREQ 74%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29.25C POM_5V_IN 5275/4892 POM_5V_GPU 3115/2632 POM_5V_CPU 124/136
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,3%@102,5%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@29.25C POM_5V_IN 4687/4879 POM_5V_GPU 2385/2615 POM_5V_CPU 125/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@307,2%@307,2%@307,1%@307] EMC_FREQ 27%@1600 GR3D_FREQ 56%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@29.25C POM_5V_IN 5075/4891 POM_5V_GPU 3032/2641 POM_5V_CPU 124/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,2%@102,6%@102,3%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28.5C AO@36C thermal@29.5C POM_5V_IN 4729/4881 POM_5V_GPU 2427/2629 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@307,1%@307,2%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 69%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@37.5C thermal@29C POM_5V_IN 5358/4908 POM_5V_GPU 2912/2644 POM_5V_CPU 124/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,8%@204,8%@204,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@37C thermal@28.75C POM_5V_IN 4282/4875 POM_5V_GPU 2218/2622 POM_5V_CPU 167/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,2%@102,2%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29C POM_5V_IN 4847/4873 POM_5V_GPU 2507/2616 POM_5V_CPU 125/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,1%@204,2%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@29.5C POM_5V_IN 5083/4883 POM_5V_GPU 2708/2620 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,3%@204,3%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 60%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 4999/4889 POM_5V_GPU 2953/2636 POM_5V_CPU 124/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,2%@102,1%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@28.75C POM_5V_IN 4687/4880 POM_5V_GPU 2385/2625 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,6%@102,2%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29.75C POM_5V_IN 4687/4872 POM_5V_GPU 2385/2615 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,2%@204,9%@204,3%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@29.75C POM_5V_IN 5324/4890 POM_5V_GPU 2912/2627 POM_5V_CPU 124/132
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,5%@204,7%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29C POM_5V_IN 4204/4863 POM_5V_GPU 2096/2606 POM_5V_CPU 167/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,2%@204,4%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 69%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 4882/4864 POM_5V_GPU 2870/2616 POM_5V_CPU 166/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,3%@204,6%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 70%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 4324/4845 POM_5V_GPU 2263/2603 POM_5V_CPU 125/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,2%@102,8%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@29.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29C POM_5V_IN 4764/4842 POM_5V_GPU 2469/2599 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,11%@102,4%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 5275/4856 POM_5V_GPU 3115/2616 POM_5V_CPU 124/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,7%@102,2%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29.5C POM_5V_IN 4611/4848 POM_5V_GPU 2347/2607 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,8%@204,8%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@30C POM_5V_IN 5324/4863 POM_5V_GPU 2912/2617 POM_5V_CPU 124/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,0%@102,3%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29.25C POM_5V_IN 4492/4852 POM_5V_GPU 2221/2605 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,6%@204,10%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@29C POM_5V_IN 5083/4859 POM_5V_GPU 2754/2609 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@307,11%@307,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 60%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@38C thermal@29.25C POM_5V_IN 4401/4846 POM_5V_GPU 2423/2604 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,8%@102,7%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@29C POM_5V_IN 5124/4853 POM_5V_GPU 2749/2608 POM_5V_CPU 125/132
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,5%@102,1%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29.25C POM_5V_IN 4282/4838 POM_5V_GPU 2179/2596 POM_5V_CPU 125/132
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,10%@204,8%@204,3%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 5166/4847 POM_5V_GPU 2833/2602 POM_5V_CPU 125/132
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,13%@204,6%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@29.25C POM_5V_IN 4204/4830 POM_5V_GPU 2179/2591 POM_5V_CPU 167/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,6%@102,9%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29C POM_5V_IN 5283/4841 POM_5V_GPU 2870/2598 POM_5V_CPU 124/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@307,3%@307,2%@307,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 63%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@29C POM_5V_IN 4282/4828 POM_5V_GPU 2221/2589 POM_5V_CPU 167/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,14%@204,2%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 59%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29.25C POM_5V_IN 5366/4841 POM_5V_GPU 2912/2597 POM_5V_CPU 124/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,8%@204,11%@204,3%@204] EMC_FREQ 27%@1600 GR3D_FREQ 81%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 4246/4827 POM_5V_GPU 2221/2588 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,12%@102,8%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@30C POM_5V_IN 5083/4833 POM_5V_GPU 2754/2592 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,10%@204,6%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 4282/4820 POM_5V_GPU 2260/2584 POM_5V_CPU 167/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,6%@204,13%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 63%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 5358/4832 POM_5V_GPU 2953/2592 POM_5V_CPU 124/133
RAM 2007/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,16%@102,4%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 4240/4819 POM_5V_GPU 2179/2584 POM_5V_CPU 167/134
RAM 2007/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@204,11%@204,5%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@29C POM_5V_IN 5399/4831 POM_5V_GPU 3036/2593 POM_5V_CPU 124/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,14%@102,5%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29C POM_5V_IN 4569/4826 POM_5V_GPU 2263/2586 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,3%@204,13%@204,6%@204] EMC_FREQ 27%@1600 GR3D_FREQ 55%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@29.25C POM_5V_IN 5358/4837 POM_5V_GPU 3115/2597 POM_5V_CPU 124/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,8%@204,9%@204,5%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29C POM_5V_IN 4611/4832 POM_5V_GPU 2347/2592 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,17%@307,3%@307,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 4240/4821 POM_5V_GPU 2260/2586 POM_5V_CPU 125/133
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,15%@204,4%@204,3%@204] EMC_FREQ 27%@1600 GR3D_FREQ 50%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@28.75C POM_5V_IN 5399/4832 POM_5V_GPU 2995/2593 POM_5V_CPU 166/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,14%@204,8%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29.5C POM_5V_IN 4492/4825 POM_5V_GPU 2221/2586 POM_5V_CPU 167/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,17%@102,1%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 66%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 5116/4831 POM_5V_GPU 3073/2595 POM_5V_CPU 165/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,17%@102,2%@102,7%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29.5C POM_5V_IN 4687/4828 POM_5V_GPU 2385/2591 POM_5V_CPU 125/135
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,17%@307,4%@307,1%@307] EMC_FREQ 27%@1600 GR3D_FREQ 81%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@38C thermal@30C POM_5V_IN 4485/4822 POM_5V_GPU 2465/2589 POM_5V_CPU 125/134
RAM 2006/3964MB (lfb 60x4MB) SWAP 279/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,13%@204,2%@204,5%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@30C POM_5V_IN 5283/4830 POM_5V_GPU 2870/2594 POM_5V_CPU 124/134
