RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,11%@204,3%@204,0%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@31C AO@39.5C thermal@33C POM_5V_IN 5944/5944 POM_5V_GPU 3142/3142 POM_5V_CPU 124/124
RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,0%@102,0%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@31.5C AO@40C thermal@33C POM_5V_IN 6419/6181 POM_5V_GPU 3780/3461 POM_5V_CPU 123/123
RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,0%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@41.5C thermal@32C POM_5V_IN 6952/6438 POM_5V_GPU 4539/3820 POM_5V_CPU 122/123
RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,0%@102,0%@102] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@32.25C POM_5V_IN 7163/6619 POM_5V_GPU 5169/4157 POM_5V_CPU 122/122
RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,1%@102,0%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@44C thermal@32.75C POM_5V_IN 7245/6744 POM_5V_GPU 5161/4358 POM_5V_CPU 122/122
RAM 1810/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,0%@204,1%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.25C POM_5V_IN 7204/6821 POM_5V_GPU 5161/4492 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,1%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.25C POM_5V_IN 7204/6875 POM_5V_GPU 5161/4587 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 7326/6932 POM_5V_GPU 5201/4664 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.75C POM_5V_IN 7286/6971 POM_5V_GPU 5201/4723 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 7286/7002 POM_5V_GPU 5161/4767 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,2%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@31.75C POM_5V_IN 7286/7028 POM_5V_GPU 5201/4807 POM_5V_CPU 121/122
