Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_AO,Avrg_THERMAL,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K4x4_W95,2,25148426,10008152842,ConvNet,95,1788.1186440677966,322.0,0.0,3.4110169491525424,94.64406779661016,22.322033898305083,25.0,50.0,6003.389830508475,3873.135593220339,124.66101694915254,37.3,28.134615384615383,23.51428571428572,26.52173913043478,30.03846153846154,354200.0,228515.0,7355.0,431.0,137.7304601669311,530.1972157772622,17.064965197215777
convnet_L2_F320_K4x4_W80,2,23171210,11143146570,ConvNet,80,1773.0,322.0,0.0,2.8813559322033897,95.61016949152544,25.220338983050848,25.0,50.0,6534.847457627118,4262.118644067797,139.96610169491527,42.5,32.785714285714285,27.724137931034484,31.26923076923077,34.885714285714286,385556.0,251465.0,8258.0,406.0,146.199312210083,619.371921182266,20.339901477832512
convnet_L2_F320_K4x4_W85,2,25875210,12543661770,ConvNet,85,1789.2241379310344,322.0,0.0,2.918103448275862,94.77586206896552,17.551724137931036,25.0,50.0,6508.172413793103,4439.672413793103,134.13793103448276,43.16666666666666,33.03333333333333,27.966666666666665,31.454545454545453,35.16129032258065,377474.0,257501.0,7780.0,385.0,154.9233984947204,668.8337662337663,20.207792207792206
convnet_L2_F320_K4x4_W90,2,28739210,14027056970,ConvNet,90,1802.0,322.0,0.0,3.5454545454545454,96.03636363636365,26.01818181818182,25.0,50.0,6668.490909090909,4388.709090909091,125.30909090909093,42.9,32.85897435897436,27.92,31.517241379310345,34.766666666666666,366767.0,241379.0,6892.0,330.0,181.113965511322,731.4515151515152,20.884848484848487
convnet_L2_F320_K4x4_W95,2,31763210,15593332170,ConvNet,95,1815.0,322.0,0.0,2.646551724137931,96.41379310344828,18.189655172413797,25.0,50.0,6561.689655172414,4461.413793103448,126.67241379310344,43.3125,33.09558823529412,28.0,31.55263157894737,35.23529411764706,380578.0,258762.0,7347.0,313.0,190.6274580955505,826.7156549520766,23.472843450479232
convnet_L2_F320_K4x4_W100,2,34947210,17242487370,ConvNet,100,1828.0,322.0,0.0,3.211864406779661,97.52542372881356,26.271186440677965,25.0,50.0,6772.576271186441,4516.728813559322,149.05084745762713,41.68181818181818,30.987179487179485,26.363636363636363,30.2,34.206896551724135,399582.0,266487.0,8794.0,268.0,223.4555768966674,994.3544776119403,32.8134328358209
convnet_L2_F384_K3x3_W90,2,32442250,10870848010,ConvNet,90,1822.0,322.0,0.0,3.906779661016949,97.52542372881356,55.28813559322034,25.0,50.0,6862.932203389831,3913.830508474576,143.57627118644066,41.016129032258064,32.25609756097561,27.83333333333333,31.225806451612904,33.84615384615385,404913.0,230916.0,8471.0,524.0,113.6675834655761,440.6793893129771,16.166030534351144
convnet_L2_F384_K3x3_W95,2,35994250,12112272010,ConvNet,95,1839.4915254237287,322.0,0.0,3.5296610169491527,94.135593220339,41.067796610169495,25.0,50.0,6513.610169491525,4011.64406779661,124.20338983050848,41.672413793103445,31.944444444444443,27.870967741935484,31.1,33.94444444444444,384303.0,236687.0,7328.0,538.0,111.4140915870666,439.9386617100372,13.62081784386617
convnet_L2_F384_K3x3_W100,2,39738250,13420800010,ConvNet,100,1861.0169491525423,322.0,0.0,4.156779661016949,95.83050847457628,42.61016949152543,25.0,50.0,6465.8983050847455,3900.9830508474574,137.67796610169492,41.35294117647059,32.296875,27.714285714285715,30.96551724137931,33.857142857142854,381488.0,230158.0,8123.0,452.0,131.66275262832642,509.1991150442478,17.971238938053098
convnet_L2_F384_K4x4_W65,2,19616266,10691803786,ConvNet,65,1755.0,321.0,0.0,2.8922413793103448,96.36206896551724,18.53448275862069,25.0,50.0,6308.086206896552,4209.603448275862,123.24137931034484,42.833333333333336,32.869791666666664,27.914285714285715,31.24242424242424,34.86666666666667,365869.0,244157.0,7148.0,439.0,136.4210081100464,556.1662870159454,16.28246013667426
