Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L2_F256_K4x4_W95,0.13773046016693116,1.6689300537109375e-06,0.0006625652313232422
convnet_L2_F320_K4x4_W100,0.22345557689666748,1.6689300537109375e-06,0.0006601810455322266
convnet_L2_F320_K4x4_W80,0.146199312210083,1.430511474609375e-06,0.0006113052368164062
convnet_L2_F320_K4x4_W85,0.15492339849472045,1.6689300537109375e-06,0.0007069110870361328
convnet_L2_F320_K4x4_W90,0.18111396551132203,1.430511474609375e-06,0.0006563663482666016
convnet_L2_F320_K4x4_W95,0.19062745809555054,1.1920928955078125e-06,0.0006701946258544922
convnet_L2_F384_K3x3_W100,0.1316627526283264,1.9073486328125e-06,0.0008552074432373047
convnet_L2_F384_K3x3_W90,0.11366758346557618,1.9073486328125e-06,0.0006477832794189453
convnet_L2_F384_K3x3_W95,0.11141409158706665,1.1920928955078125e-06,0.0007116794586181641
convnet_L2_F384_K4x4_W100,0.3024246597290039,9.5367431640625e-07,0.0006639957427978516
convnet_L2_F384_K4x4_W65,0.1364210081100464,1.6689300537109375e-06,0.0006461143493652344
convnet_L2_F384_K4x4_W70,0.14846333503723144,1.6689300537109375e-06,0.0006482601165771484
convnet_L2_F384_K4x4_W75,0.17755184888839723,2.86102294921875e-06,0.0024595260620117188
convnet_L2_F384_K4x4_W80,0.19805450201034547,3.337860107421875e-06,0.001041412353515625
convnet_L2_F384_K4x4_W85,0.22442492485046386,1.430511474609375e-06,0.0006427764892578125
convnet_L2_F384_K4x4_W90,0.2389086389541626,9.5367431640625e-07,0.0006608963012695312
convnet_L2_F384_K4x4_W95,0.26332266569137575,1.6689300537109375e-06,0.0007567405700683594
convnet_L2_F448_K3x3_W100,0.16743261098861695,1.1920928955078125e-06,0.0006623268127441406
convnet_L2_F448_K3x3_W75,0.09410697460174561,1.6689300537109375e-06,0.0006465911865234375
convnet_L2_F448_K3x3_W80,0.10622572422027587,1.430511474609375e-06,0.0006067752838134766
convnet_L2_F448_K3x3_W85,0.12225567579269409,1.430511474609375e-06,0.0006837844848632812
convnet_L2_F448_K3x3_W90,0.13626783847808838,1.430511474609375e-06,0.0006711483001708984
convnet_L2_F448_K3x3_W95,0.1390390372276306,1.430511474609375e-06,0.000720977783203125
convnet_L2_F448_K4x4_W100,0.3877080416679382,1.1920928955078125e-06,0.0006604194641113281
convnet_L2_F448_K4x4_W55,0.13227558612823487,1.1920928955078125e-06,0.0006299018859863281
convnet_L2_F448_K4x4_W60,0.15651608467102052,9.5367431640625e-07,0.0006427764892578125
convnet_L2_F448_K4x4_W65,0.1798971939086914,2.86102294921875e-06,0.0013692378997802734
convnet_L2_F448_K4x4_W70,0.20315648794174193,2.6226043701171875e-06,0.0011723041534423828
convnet_L2_F448_K4x4_W75,0.2334441876411438,1.430511474609375e-06,0.0006392002105712891
convnet_L2_F448_K4x4_W80,0.2649037313461304,3.0994415283203125e-06,0.0012104511260986328
convnet_L2_F448_K4x4_W85,0.2846423292160034,1.430511474609375e-06,0.0006527900695800781
convnet_L2_F448_K4x4_W90,0.3176204991340637,1.6689300537109375e-06,0.0007486343383789062
convnet_L2_F448_K4x4_W95,0.3503153944015503,1.1920928955078125e-06,0.0006668567657470703
convnet_L2_F512_K2x2_W95,0.19838420867919923,1.1920928955078125e-06,0.0007226467132568359
convnet_L2_F512_K3x3_W65,0.10789426565170288,1.430511474609375e-06,0.0006256103515625
convnet_L2_F512_K3x3_W75,0.11942368507385254,9.5367431640625e-07,0.0006568431854248047
convnet_L2_F512_K3x3_W85,0.15212634086608887,1.1920928955078125e-06,0.000637054443359375
convnet_L2_F512_K3x3_W95,0.17582583665847779,1.430511474609375e-06,0.0006799697875976562
convnet_L2_F512_K4x4_W55,0.16476081371307372,1.1920928955078125e-06,0.0006475448608398438
convnet_L2_F512_K4x4_W65,0.22656325101852418,1.430511474609375e-06,0.0006754398345947266
convnet_L2_F512_K4x4_W75,0.2843292713165283,1.1920928955078125e-06,0.0006558895111083984
convnet_L2_F512_K4x4_W85,0.3619531106948852,3.337860107421875e-06,0.00091552734375
convnet_L2_F512_K4x4_W95,0.44566014766693113,1.430511474609375e-06,0.0006992816925048828
convnet_L2_F544_K2x2_W100,0.23965216398239136,4.0531158447265625e-05,0.0006952285766601562
convnet_L2_F544_K2x2_W90,0.1967974352836609,1.6689300537109375e-06,0.0007147789001464844
convnet_L2_F544_K2x2_W95,0.23616892576217652,1.430511474609375e-06,0.0007107257843017578
convnet_L2_F544_K3x3_W100,0.2406350326538086,1.9073486328125e-06,0.0006608963012695312
convnet_L2_F544_K3x3_W65,0.11222511053085327,1.430511474609375e-06,0.0006501674652099609
convnet_L2_F544_K3x3_W70,0.11824948310852051,1.1920928955078125e-06,0.000640869140625
convnet_L2_F544_K3x3_W75,0.13377605199813844,1.1920928955078125e-06,0.0006344318389892578
convnet_L2_F544_K3x3_W80,0.15179930210113526,1.6689300537109375e-06,0.0006215572357177734
convnet_L2_F544_K3x3_W85,0.17329780101776124,2.86102294921875e-06,0.0012938976287841797
convnet_L2_F544_K3x3_W90,0.19045160293579103,1.1920928955078125e-06,0.0006632804870605469
convnet_L2_F544_K3x3_W95,0.1977896523475647,1.430511474609375e-06,0.0006842613220214844
convnet_L2_F544_K4x4_W100,0.5857032203674316,1.1920928955078125e-06,0.0006508827209472656
convnet_L2_F544_K4x4_W45,0.13504137277603148,1.9073486328125e-06,0.0007693767547607422
convnet_L2_F544_K4x4_W50,0.16438775777816772,2.384185791015625e-06,0.0013380050659179688
convnet_L2_F544_K4x4_W55,0.193706374168396,3.0994415283203125e-06,0.0017194747924804688
convnet_L2_F544_K4x4_W60,0.23118934869766236,2.6226043701171875e-06,0.001230478286743164
convnet_L2_F544_K4x4_W65,0.26781529664993287,1.430511474609375e-06,0.0007033348083496094
convnet_L2_F544_K4x4_W70,0.2955079746246338,1.1920928955078125e-06,0.0006883144378662109
convnet_L2_F544_K4x4_W75,0.34911356925964354,1.1920928955078125e-06,0.0006265640258789062
convnet_L2_F544_K4x4_W80,0.3799894833564758,1.1920928955078125e-06,0.0007030963897705078
convnet_L2_F544_K4x4_W85,0.429327974319458,1.430511474609375e-06,0.0006666183471679688
convnet_L2_F544_K4x4_W90,0.4788293623924255,1.1920928955078125e-06,0.0006251335144042969
convnet_L2_F544_K4x4_W95,0.5448399066925049,1.430511474609375e-06,0.0006837844848632812
convnet_L2_F576_K2x2_W100,0.2628254508972168,1.430511474609375e-06,0.0006823539733886719
convnet_L2_F576_K2x2_W85,0.1950642943382263,1.1920928955078125e-06,0.0007302761077880859
