model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L2_F256_K4x4_W95,convnet_L2_F256_K4x4_W95.trt,431,66.61748480796814,5.621814966201782,7.152557373046875e-07,60.18111968040466,0.13868820141750257
convnet_L2_F320_K4x4_W100,convnet_L2_F320_K4x4_W100.trt,268,66.64329648017883,5.745016574859619,7.152557373046875e-07,60.31467318534851,0.22396443139261274
convnet_L2_F320_K4x4_W80,convnet_L2_F320_K4x4_W80.trt,406,66.16982054710388,5.227657318115234,4.76837158203125e-07,60.18220067024231,0.14727115220037
convnet_L2_F320_K4x4_W85,convnet_L2_F320_K4x4_W85.trt,385,66.40419507026672,5.697801113128662,9.5367431640625e-07,60.21917104721069,0.15541857372630727
convnet_L2_F320_K4x4_W90,convnet_L2_F320_K4x4_W90.trt,330,65.59901714324951,4.989193439483643,4.76837158203125e-07,60.236430406570435,0.18148811802719578
convnet_L2_F320_K4x4_W95,convnet_L2_F320_K4x4_W95.trt,313,65.7691969871521,5.1710205078125,9.5367431640625e-07,60.15833020210266,0.191179177250725
convnet_L2_F384_K3x3_W100,convnet_L2_F384_K3x3_W100.trt,452,65.84416270256042,5.415682315826416,4.76837158203125e-07,60.11759543418884,0.13205670466465233
convnet_L2_F384_K3x3_W90,convnet_L2_F384_K3x3_W90.trt,524,65.8873553276062,5.247848987579346,9.5367431640625e-07,60.182188749313354,0.11398641344245153
convnet_L2_F384_K3x3_W95,convnet_L2_F384_K3x3_W95.trt,538,65.69195866584778,5.184543132781982,4.76837158203125e-07,60.18939447402954,0.11100139626783066
convnet_L2_F384_K4x4_W100,convnet_L2_F384_K4x4_W100.trt,198,66.99417781829834,5.798181772232056,4.76837158203125e-07,60.23511576652527,0.30291976471139925
convnet_L2_F384_K4x4_W65,convnet_L2_F384_K4x4_W65.trt,439,65.77441358566284,4.993098258972168,9.5367431640625e-07,60.16801357269287,0.13609669528952492
convnet_L2_F384_K4x4_W70,convnet_L2_F384_K4x4_W70.trt,402,66.30291867256165,5.644592523574829,4.76837158203125e-07,60.146770000457764,0.1486425115101373
convnet_L2_F384_K4x4_W75,convnet_L2_F384_K4x4_W75.trt,336,65.67802691459656,5.102872371673584,4.76837158203125e-07,60.200204610824585,0.1781325624102638
convnet_L2_F384_K4x4_W80,convnet_L2_F384_K4x4_W80.trt,302,66.39487314224243,5.7370383739471436,9.5367431640625e-07,60.179232358932495,0.19820989520344512
convnet_L2_F384_K4x4_W85,convnet_L2_F384_K4x4_W85.trt,267,65.76795196533203,5.117061138153076,7.152557373046875e-07,60.165138721466064,0.22423710448018622
convnet_L2_F384_K4x4_W90,convnet_L2_F384_K4x4_W90.trt,250,66.68768048286438,5.731194019317627,4.76837158203125e-07,60.14028549194336,0.23945524978637694
convnet_L2_F384_K4x4_W95,convnet_L2_F384_K4x4_W95.trt,228,66.28909182548523,5.484915733337402,7.152557373046875e-07,60.330854177474976,0.2634280156670955
