RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,13%@102,5%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29.5C AO@41C thermal@30.75C POM_5V_IN 6900/6900 POM_5V_GPU 4443/4443 POM_5V_CPU 122/122
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,20%@102,0%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@29.25C POM_5V_IN 7425/7162 POM_5V_GPU 4942/4692 POM_5V_CPU 121/121
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,12%@204,1%@204,1%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@38C thermal@32C POM_5V_IN 5441/6588 POM_5V_GPU 3156/4180 POM_5V_CPU 124/122
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,7%@307,0%@307,0%@307] EMC_FREQ 20%@1600 GR3D_FREQ 48%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@32C POM_5V_IN 4680/6111 POM_5V_GPU 2670/3802 POM_5V_CPU 124/122
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,8%@204,0%@204,6%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 7041/6297 POM_5V_GPU 4551/3952 POM_5V_CPU 162/130
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,10%@204,13%@204,8%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30C AO@42C thermal@30C POM_5V_IN 7725/6535 POM_5V_GPU 4926/4114 POM_5V_CPU 201/142
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,6%@204,31%@204,11%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29C AO@37.5C thermal@32.25C POM_5V_IN 5714/6418 POM_5V_GPU 2944/3947 POM_5V_CPU 124/139
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,37%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31.75C POM_5V_IN 5861/6348 POM_5V_GPU 3292/3865 POM_5V_CPU 164/142
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,29%@204,6%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41.5C thermal@29.5C POM_5V_IN 7012/6422 POM_5V_GPU 4518/3938 POM_5V_CPU 162/144
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,3%@102,7%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32C POM_5V_IN 7012/6481 POM_5V_GPU 4925/4036 POM_5V_CPU 122/142
RAM 2185/3964MB (lfb 42x4MB) SWAP 304/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,3%@102,2%@102,6%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@31.75C POM_5V_IN 5316/6375 POM_5V_GPU 3078/3949 POM_5V_CPU 124/140
