RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [0%@204,1%@204,2%@204,0%@204] EMC_FREQ 8%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30C AO@43C thermal@32.75C POM_5V_IN 6829/6829 POM_5V_GPU 4940/4940 POM_5V_CPU 122/122
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,3%@102,1%@102] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@32.75C POM_5V_IN 6635/6732 POM_5V_GPU 4703/4821 POM_5V_CPU 122/122
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,1%@102,1%@204,0%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.5C POM_5V_IN 6870/6778 POM_5V_GPU 4981/4874 POM_5V_CPU 122/122
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,2%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32C POM_5V_IN 6747/6770 POM_5V_GPU 4859/4870 POM_5V_CPU 122/122
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,1%@307,1%@307] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 5861/6588 POM_5V_GPU 3709/4638 POM_5V_CPU 164/130
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,3%@307,1%@307] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@30.5C AO@43.5C thermal@32C POM_5V_IN 6870/6635 POM_5V_GPU 4940/4688 POM_5V_CPU 163/135
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,3%@307] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@32.75C POM_5V_IN 6522/6619 POM_5V_GPU 4546/4668 POM_5V_CPU 163/139
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,2%@307,3%@307] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@30.5C AO@43.5C thermal@33C POM_5V_IN 6900/6654 POM_5V_GPU 4981/4707 POM_5V_CPU 163/142
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@518,1%@518,3%@518,3%@518] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32.75C POM_5V_IN 6788/6669 POM_5V_GPU 4818/4719 POM_5V_CPU 163/144
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,2%@403,0%@403] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@41.5C thermal@33C POM_5V_IN 6563/6658 POM_5V_GPU 4389/4686 POM_5V_CPU 164/146
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,3%@307,2%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@30.5C AO@43C thermal@33C POM_5V_IN 6829/6674 POM_5V_GPU 4899/4705 POM_5V_CPU 122/144
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,1%@307,2%@307,2%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 6368/6648 POM_5V_GPU 4307/4672 POM_5V_CPU 164/146
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,2%@307,2%@307,1%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32C POM_5V_IN 6870/6665 POM_5V_GPU 4940/4693 POM_5V_CPU 163/147
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,4%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43C thermal@32.5C POM_5V_IN 6717/6669 POM_5V_GPU 4703/4693 POM_5V_CPU 163/148
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,0%@307,1%@307,1%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@44C thermal@33.25C POM_5V_IN 6900/6684 POM_5V_GPU 4973/4712 POM_5V_CPU 122/146
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,1%@307,2%@307,2%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@30.5C AO@43.5C thermal@33.25C POM_5V_IN 6829/6693 POM_5V_GPU 4859/4721 POM_5V_CPU 122/145
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 93%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@33C POM_5V_IN 5788/6640 POM_5V_GPU 3632/4657 POM_5V_CPU 165/146
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@33C POM_5V_IN 6870/6653 POM_5V_GPU 4940/4673 POM_5V_CPU 163/147
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,0%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43C thermal@33C POM_5V_IN 6563/6648 POM_5V_GPU 4587/4668 POM_5V_CPU 163/148
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,8%@307,6%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32.75C POM_5V_IN 7355/6683 POM_5V_GPU 4950/4682 POM_5V_CPU 162/148
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,7%@307,3%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32C POM_5V_IN 7163/6706 POM_5V_GPU 4843/4690 POM_5V_CPU 162/149
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,12%@307,3%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@33.25C POM_5V_IN 6604/6701 POM_5V_GPU 3733/4646 POM_5V_CPU 205/152
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,19%@307,5%@307,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33.25C POM_5V_IN 7245/6725 POM_5V_GPU 4917/4658 POM_5V_CPU 162/152
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,16%@307,3%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@33.25C POM_5V_IN 6982/6736 POM_5V_GPU 4525/4653 POM_5V_CPU 203/154
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,6%@307,4%@307,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.25C POM_5V_IN 6900/6742 POM_5V_GPU 4940/4664 POM_5V_CPU 163/154
