Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_PLL,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F128_K4x4_W90,2,11102474,2282642570,ConvNet,90,1715.1694915254238,359.0,0.0,6.703389830508475,86.47457627118644,27.135593220338983,25.0,50.0,38.66666666666666,30.122340425531917,5639.593220338983,3351.4576271186443,141.47457627118644,28.939393939393938,25.97222222222222,31.666666666666668,332736.0,197736.0,8347.0,1402,43.461117744445794,141.0385164051355,5.953637660485021
convnet_L2_F128_K4x4_W100,2,13585674,2805975690,ConvNet,100,1731.8813559322034,359.0,0.0,5.796610169491525,89.37288135593221,28.016949152542374,25.0,50.0,38.80303030303031,30.3936170212766,5685.0,3372.338983050848,139.3050847457627,28.954545454545453,26.0,31.608695652173918,335415.0,198968.0,8219.0,1163,51.6358709335327,171.0816852966466,7.067067927773001
convnet_L2_F256_K3x3_W60,2,9813258,2159308810,ConvNet,60,1708.9830508474577,359.0,0.0,8.398305084745763,85.50847457627118,49.47457627118644,25.0,50.0,37.65151515151515,29.47826086956522,5836.728813559322,3118.186440677966,150.3050847457627,28.40909090909091,25.76923076923077,30.83333333333333,344367.0,183973.0,8868.0,1923,31.0102796554565,95.66978679147167,4.611544461778471
convnet_L2_F256_K3x3_W70,2,13141258,2939059210,ConvNet,70,1721.0169491525423,358.0,0.0,6.877118644067797,86.55932203389831,50.6271186440678,25.0,50.0,37.92424242424242,29.625,5945.559322033899,3203.0677966101694,136.9322033898305,28.72,25.9375,30.870967741935484,350788.0,188981.0,8079.0,1429,43.521697521209695,132.24702589223233,5.653603918824353
convnet_L2_F256_K3x3_W80,2,16981258,3838771210,ConvNet,80,1739.0,358.0,0.0,6.25,86.86440677966101,55.067796610169495,25.0,50.0,37.94117647058823,29.67391304347826,6174.9152542372885,3264.830508474576,141.59322033898306,28.657894736842103,26.0,31.03333333333333,364320.0,192625.0,8354.0,1224,48.8932824134826,157.3733660130719,6.82516339869281
convnet_L2_F256_K3x3_W90,2,21333258,4858444810,ConvNet,90,1760.1186440677966,358.0,0.0,4.809322033898305,91.50847457627118,53.59322033898305,25.0,50.0,38.22413793103448,29.85625,6194.423728813559,3320.254237288136,138.0677966101695,28.785714285714285,25.95833333333333,31.31578947368421,365471.0,195895.0,8146.0,928,63.9455938339233,211.09375,8.77801724137931
convnet_L2_F256_K3x3_W100,2,26197258,5998080010,ConvNet,100,1783.0,359.0,0.0,4.228813559322034,94.9322033898305,38.59322033898305,25.0,50.0,37.5,29.30434782608696,5515.118644067797,3193.338983050848,132.61016949152545,28.27906976744186,25.375,30.147058823529413,325392.0,188407.0,7824.0,826,71.53160572052,228.0956416464891,9.472154963680387
convnet_L2_F256_K2x2_W90,2,23858698,2470655242,ConvNet,90,2017.0,359.0,0.0,5.9094827586206895,84.75862068965517,33.96551724137931,25.0,50.0,36.01428571428571,28.416666666666668,5069.379310344828,2588.3793103448274,131.94827586206895,27.476190476190474,25.0,29.392857142857142,294024.0,150126.0,7653.0,773,76.5583539009094,194.21216041397153,9.90038809831824
convnet_L2_F256_K2x2_W100,2,29029898,3012397322,ConvNet,100,2038.71186440678,359.0,0.0,5.237288135593221,85.64406779661017,38.813559322033896,25.0,50.0,37.03658536585366,28.892857142857142,5388.28813559322,2874.694915254237,130.89830508474577,27.97222222222222,25.08695652173913,30.03030303030303,317909.0,169607.0,7723.0,718,83.3859467506408,236.22144846796658,10.756267409470752
convnet_L2_F256_K4x4_W50,2,7983626,2875590922,ConvNet,50,1694.9830508474577,358.0,0.0,6.52542372881356,88.10169491525424,20.372881355932204,25.0,50.0,39.625,30.63095238095238,5785.6949152542375,3664.169491525424,128.3050847457627,29.0,25.96551724137931,32.130434782608695,341356.0,216186.0,7570.0,1388,43.771543502807596,155.7536023054755,5.453890489913545
