Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L10_F1024_K1x1_W10,0.09814714431762696,1.1920928955078125e-06,0.0006706714630126953
convnet_L10_F1024_K1x1_W20,0.1662830138206482,1.6689300537109375e-06,0.0006647109985351562
convnet_L10_F1024_K3x3_W10,0.11231412410736084,6.198883056640625e-06,0.002225637435913086
convnet_L10_F128_K2x2_W100,0.14490636348724364,1.1920928955078125e-06,0.0007576942443847656
convnet_L10_F128_K2x2_W40,0.04203709125518799,9.5367431640625e-07,0.0007252693176269531
convnet_L10_F128_K2x2_W50,0.05220125198364258,1.1920928955078125e-06,0.0006957054138183594
convnet_L10_F128_K2x2_W60,0.06733313322067261,1.1920928955078125e-06,0.0006840229034423828
convnet_L10_F128_K2x2_W70,0.08708566427230835,1.1920928955078125e-06,0.0006914138793945312
convnet_L10_F128_K2x2_W80,0.1084696102142334,1.1920928955078125e-06,0.0006613731384277344
convnet_L10_F128_K2x2_W90,0.12558515310287477,1.1920928955078125e-06,0.0007040500640869141
convnet_L10_F128_K3x3_W40,0.021306374073028565,9.5367431640625e-07,0.0006463527679443359
convnet_L10_F128_K3x3_W50,0.03727761745452881,2.6226043701171875e-06,0.0015988349914550781
convnet_L10_F128_K3x3_W60,0.044118103981018064,1.1920928955078125e-06,0.0006508827209472656
convnet_L10_F128_K3x3_W70,0.05837408781051636,2.1457672119140625e-06,0.0009708404541015625
convnet_L10_F128_K3x3_W80,0.06861560583114625,1.6689300537109375e-06,0.0006525516510009766
convnet_L10_F128_K4x4_W30,0.040771329402923585,2.86102294921875e-06,0.0016210079193115234
convnet_L10_F128_K4x4_W40,0.06297396421432495,1.430511474609375e-06,0.0006127357482910156
convnet_L10_F128_K4x4_W50,0.08961802005767822,1.1920928955078125e-06,0.0006494522094726562
convnet_L10_F256_K1x1_W100,0.1775179934501648,1.430511474609375e-06,0.0006561279296875
convnet_L10_F256_K1x1_W50,0.06337236166000366,1.1920928955078125e-06,0.0006852149963378906
convnet_L10_F256_K1x1_W60,0.0796666955947876,9.5367431640625e-07,0.0006811618804931641
convnet_L10_F256_K1x1_W70,0.09540282249450684,1.1920928955078125e-06,0.0006871223449707031
convnet_L10_F256_K1x1_W80,0.1292766523361206,1.1920928955078125e-06,0.0006744861602783203
convnet_L10_F256_K1x1_W90,0.1457078003883362,1.1920928955078125e-06,0.000682830810546875
convnet_L10_F256_K2x2_W20,0.06481881856918335,1.1920928955078125e-06,0.000675201416015625
convnet_L10_F256_K2x2_W30,0.09092063903808593,1.430511474609375e-06,0.0006546974182128906
convnet_L10_F256_K2x2_W40,0.12284758567810058,1.6689300537109375e-06,0.0006761550903320312
convnet_L10_F256_K3x3_W20,0.030878233909606933,1.6689300537109375e-06,0.000621795654296875
convnet_L10_F256_K3x3_W30,0.03760260581970215,1.6689300537109375e-06,0.0006182193756103516
convnet_L10_F256_K3x3_W40,0.06993013143539428,3.814697265625e-06,0.0017547607421875
convnet_L10_F256_K4x4_W10,0.03748885869979859,2.384185791015625e-06,0.0015072822570800781
convnet_L10_F256_K4x4_W20,0.07773003101348877,1.1920928955078125e-06,0.0006759166717529297
convnet_L10_F512_K1x1_W20,0.04905973196029663,1.1920928955078125e-06,0.0006799697875976562
convnet_L10_F512_K1x1_W30,0.08286064863204956,9.5367431640625e-07,0.0006575584411621094
convnet_L10_F512_K1x1_W40,0.12206031560897827,1.6689300537109375e-06,0.0006842613220214844
convnet_L10_F512_K1x1_W50,0.16675740242004394,1.1920928955078125e-06,0.0007116794586181641
convnet_L10_F512_K2x2_W10,0.1273194980621338,1.1920928955078125e-06,0.0007517337799072266
convnet_L10_F512_K3x3_W10,0.03199683427810669,3.0994415283203125e-06,0.001947164535522461
convnet_L10_F512_K3x3_W20,0.09260444879531861,4.0531158447265625e-06,0.0021598339080810547
convnet_L10_F512_K4x4_W10,0.1275451159477234,4.5299530029296875e-06,0.002553224563598633
convnet_L10_F64_K2x2_W100,0.052256412506103515,1.430511474609375e-06,0.0007069110870361328
convnet_L10_F64_K3x3_W100,0.043021435737609866,9.5367431640625e-07,0.000659942626953125
convnet_L10_F64_K3x3_W80,0.02295632839202881,1.1920928955078125e-06,0.000629425048828125
convnet_L10_F64_K3x3_W90,0.03281872510910034,1.430511474609375e-06,0.0007166862487792969
convnet_L10_F64_K4x4_W100,0.08008093357086182,9.5367431640625e-07,0.0006580352783203125
convnet_L10_F64_K4x4_W60,0.0359835433959961,1.6689300537109375e-06,0.0006177425384521484
convnet_L10_F64_K4x4_W70,0.04484156370162964,1.430511474609375e-06,0.0006339550018310547
convnet_L10_F64_K4x4_W80,0.055035080909729,3.0994415283203125e-06,0.0012814998626708984
convnet_L10_F64_K4x4_W90,0.06859018564224244,1.430511474609375e-06,0.0006566047668457031
convnet_L2_F1024_K1x1_W40,0.058840794563293455,1.9073486328125e-06,0.0006887912750244141
convnet_L2_F1024_K1x1_W50,0.07694148540496826,1.6689300537109375e-06,0.0006830692291259766
convnet_L2_F1024_K1x1_W60,0.10551017761230469,1.1920928955078125e-06,0.0006761550903320312
convnet_L2_F1024_K1x1_W70,0.13978391408920288,1.6689300537109375e-06,0.0006799697875976562
convnet_L2_F1024_K1x1_W80,0.17988569974899293,1.430511474609375e-06,0.0006587505340576172
convnet_L2_F1024_K1x1_W90,0.22334543466567994,1.430511474609375e-06,0.0006778240203857422
convnet_L2_F1024_K2x2_W20,0.051634325981140136,1.1920928955078125e-06,0.000736236572265625
convnet_L2_F1024_K2x2_W30,0.1015931224822998,1.430511474609375e-06,0.0006697177886962891
convnet_L2_F1024_K2x2_W40,0.16870471000671386,1.430511474609375e-06,0.0007343292236328125
convnet_L2_F1024_K3x3_W20,0.047762551307678223,1.430511474609375e-06,0.0009019374847412109
convnet_L2_F1024_K3x3_W30,0.06518115520477295,3.5762786865234375e-06,0.0019099712371826172
convnet_L2_F1024_K4x4_W10,0.04896953821182251,3.0994415283203125e-06,0.001991748809814453
convnet_L2_F1024_K4x4_W20,0.09941100358963012,9.5367431640625e-07,0.0006337165832519531
convnet_L2_F128_K4x4_W100,0.05163587093353272,1.430511474609375e-06,0.0007884502410888672
convnet_L2_F128_K4x4_W90,0.043461117744445804,1.1920928955078125e-06,0.0006604194641113281
convnet_L2_F256_K2x2_W100,0.08338594675064087,9.5367431640625e-07,0.0007340908050537109
