RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,2%@307,0%@307,1%@307] EMC_FREQ 12%@1600 GR3D_FREQ 64%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@25.5C POM_5V_IN 4401/4401 POM_5V_GPU 2423/2423 POM_5V_CPU 125/125
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,5%@102,3%@102,5%@102] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@27C AO@38C thermal@27.75C POM_5V_IN 5935/5168 POM_5V_GPU 3785/3104 POM_5V_CPU 123/124
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,5%@204,0%@204,1%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27.5C AO@35.5C thermal@27.5C POM_5V_IN 5903/5413 POM_5V_GPU 3431/3213 POM_5V_CPU 165/137
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,0%@102,0%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@27C AO@34.5C thermal@27.75C POM_5V_IN 4527/5191 POM_5V_GPU 2305/2986 POM_5V_CPU 125/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,1%@102,0%@102] EMC_FREQ 25%@1600 GR3D_FREQ 55%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@26.5C AO@37.5C thermal@27.25C POM_5V_IN 5275/5208 POM_5V_GPU 3229/3034 POM_5V_CPU 124/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,3%@204,0%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31C PMIC@50C GPU@27C AO@38.5C thermal@27.75C POM_5V_IN 6368/5401 POM_5V_GPU 4102/3212 POM_5V_CPU 123/130
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,5%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28C POM_5V_IN 5200/5372 POM_5V_GPU 2874/3164 POM_5V_CPU 124/129
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,2%@102,1%@102,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@34.5C thermal@28C POM_5V_IN 4204/5226 POM_5V_GPU 2099/3031 POM_5V_CPU 125/129
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,4%@102,0%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@27.75C POM_5V_IN 5391/5244 POM_5V_GPU 3312/3062 POM_5V_CPU 124/128
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,2%@102,0%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28C POM_5V_IN 6182/5338 POM_5V_GPU 3632/3119 POM_5V_CPU 124/128
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,2%@102,0%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@34.5C thermal@27.75C POM_5V_IN 4604/5271 POM_5V_GPU 2385/3052 POM_5V_CPU 125/127
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,7%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 56%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37C thermal@27.75C POM_5V_IN 5041/5252 POM_5V_GPU 2949/3043 POM_5V_CPU 124/127
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,0%@102,7%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@28C POM_5V_IN 6368/5338 POM_5V_GPU 3985/3116 POM_5V_CPU 123/127
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,5%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@35C thermal@27.25C POM_5V_IN 4806/5300 POM_5V_GPU 2549/3075 POM_5V_CPU 125/127
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,6%@102,1%@102] EMC_FREQ 29%@1600 GR3D_FREQ 60%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26C AO@36.5C thermal@27.75C POM_5V_IN 4715/5261 POM_5V_GPU 2666/3048 POM_5V_CPU 124/126
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,0%@102,8%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@27.5C POM_5V_IN 6245/5322 POM_5V_GPU 4061/3111 POM_5V_CPU 123/126
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,1%@102,7%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27.5C AO@35C thermal@27.75C POM_5V_IN 5083/5308 POM_5V_GPU 2754/3090 POM_5V_CPU 125/126
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,1%@204,6%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@27.5C POM_5V_IN 4162/5245 POM_5V_GPU 2096/3035 POM_5V_CPU 125/126
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,0%@102,9%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31.5C PMIC@50C GPU@27.5C AO@38.5C thermal@27.75C POM_5V_IN 6090/5289 POM_5V_GPU 3903/3081 POM_5V_CPU 164/128
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,5%@403,2%@403,4%@403] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28C POM_5V_IN 5631/5306 POM_5V_GPU 3229/3088 POM_5V_CPU 165/130
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,8%@307,6%@307,4%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27.5C AO@35C thermal@27.75C POM_5V_IN 5200/5301 POM_5V_GPU 2412/3056 POM_5V_CPU 166/131
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@614,5%@614,21%@614,3%@614] EMC_FREQ 29%@1600 GR3D_FREQ 54%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35C thermal@27.75C POM_5V_IN 4324/5257 POM_5V_GPU 2179/3016 POM_5V_CPU 167/133
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,2%@204,6%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@27.75C POM_5V_IN 5664/5274 POM_5V_GPU 3508/3037 POM_5V_CPU 165/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,5%@518,6%@518,4%@518] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@27.5C POM_5V_IN 6440/5323 POM_5V_GPU 4020/3078 POM_5V_CPU 164/136
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@403,4%@403,5%@403,2%@403] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@28C AO@35C thermal@28C POM_5V_IN 5124/5315 POM_5V_GPU 2749/3065 POM_5V_CPU 125/135
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,6%@403,4%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@35C thermal@28C POM_5V_IN 4162/5270 POM_5V_GPU 2099/3028 POM_5V_CPU 167/136
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,9%@102,0%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27C AO@38C thermal@27.75C POM_5V_IN 5746/5288 POM_5V_GPU 3585/3048 POM_5V_CPU 123/136
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,9%@102,0%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@27.75C POM_5V_IN 5944/5311 POM_5V_GPU 3431/3062 POM_5V_CPU 124/135
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,11%@102,1%@102,0%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27.5C AO@35C thermal@27.75C POM_5V_IN 4604/5287 POM_5V_GPU 2385/3039 POM_5V_CPU 125/135
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,8%@204,2%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@27.75C POM_5V_IN 5391/5291 POM_5V_GPU 3266/3046 POM_5V_CPU 124/135
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@102,1%@102,1%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@28C POM_5V_IN 6327/5324 POM_5V_GPU 4102/3080 POM_5V_CPU 123/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,8%@204,2%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@28.5C AO@35.5C thermal@28C POM_5V_IN 5166/5319 POM_5V_GPU 2833/3073 POM_5V_CPU 125/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,10%@102,1%@102,0%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27.5C AO@35C thermal@28.25C POM_5V_IN 4288/5288 POM_5V_GPU 2057/3042 POM_5V_CPU 125/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,9%@102,1%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27C AO@38.5C thermal@28.25C POM_5V_IN 5465/5293 POM_5V_GPU 3390/3052 POM_5V_CPU 123/133
