RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,5%@307,2%@307,0%@307] EMC_FREQ 21%@1600 GR3D_FREQ 72%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@30.5C POM_5V_IN 6204/6204 POM_5V_GPU 3610/3610 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,4%@204,1%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 6204/6204 POM_5V_GPU 3528/3569 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,3%@102,2%@102,1%@102] EMC_FREQ 40%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 6131/6179 POM_5V_GPU 3487/3541 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,2%@204,0%@204,1%@204] EMC_FREQ 45%@1600 GR3D_FREQ 96%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 5893/6108 POM_5V_GPU 3333/3489 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,3%@102,2%@102,1%@102] EMC_FREQ 48%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@30.75C POM_5V_IN 6286/6143 POM_5V_GPU 3528/3497 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,3%@102,1%@102,1%@102] EMC_FREQ 51%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C POM_5V_IN 6049/6127 POM_5V_GPU 3446/3488 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,4%@102,0%@102,2%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@31C POM_5V_IN 6131/6128 POM_5V_GPU 3487/3488 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,5%@102,3%@204,0%@204] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@30C AO@39C thermal@30.5C POM_5V_IN 6204/6137 POM_5V_GPU 3569/3498 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,4%@102,1%@102,0%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@31.25C POM_5V_IN 6090/6132 POM_5V_GPU 3446/3492 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,3%@204,2%@204,0%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 6368/6156 POM_5V_GPU 3446/3488 POM_5V_CPU 123/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,2%@204,2%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29C AO@40C thermal@31.5C POM_5V_IN 6430/6180 POM_5V_GPU 3762/3512 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,3%@102,1%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 86%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@31C POM_5V_IN 7041/6252 POM_5V_GPU 4267/3575 POM_5V_CPU 121/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@204,8%@204,3%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@30.75C POM_5V_IN 7152/6321 POM_5V_GPU 4389/3638 POM_5V_CPU 121/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,4%@102,0%@102,2%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@30.75C POM_5V_IN 7123/6379 POM_5V_GPU 4348/3689 POM_5V_CPU 121/122
