RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,10%@204,1%@204,4%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@29C AO@37C thermal@30C POM_5V_IN 5233/5233 POM_5V_GPU 2533/2533 POM_5V_CPU 165/165
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,1%@204,2%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@29C AO@37C thermal@30.75C POM_5V_IN 5705/5469 POM_5V_GPU 2774/2653 POM_5V_CPU 165/165
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,2%@102,1%@102,5%@102] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 5672/5536 POM_5V_GPU 2695/2667 POM_5V_CPU 165/165
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,1%@102,0%@102,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29C AO@37C thermal@31C POM_5V_IN 5829/5609 POM_5V_GPU 2889/2722 POM_5V_CPU 165/165
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@102,0%@102,1%@102] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29C AO@37.5C thermal@29.75C POM_5V_IN 5788/5645 POM_5V_GPU 2898/2757 POM_5V_CPU 124/156
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,3%@102,4%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@37C thermal@31C POM_5V_IN 5861/5681 POM_5V_GPU 2930/2786 POM_5V_CPU 165/158
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,3%@204,2%@204,3%@204] EMC_FREQ 41%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29.5C AO@37.5C thermal@31C POM_5V_IN 5788/5696 POM_5V_GPU 2815/2790 POM_5V_CPU 124/153
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,5%@102,1%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@37.5C thermal@31C POM_5V_IN 5788/5708 POM_5V_GPU 2811/2793 POM_5V_CPU 124/149
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,2%@102,2%@102,2%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29.5C AO@37.5C thermal@30C POM_5V_IN 5746/5712 POM_5V_GPU 2732/2786 POM_5V_CPU 165/151
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,7%@102,1%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29.5C AO@37C thermal@31.25C POM_5V_IN 5705/5711 POM_5V_GPU 2732/2780 POM_5V_CPU 124/148
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,6%@204,2%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@37.5C thermal@30C POM_5V_IN 5788/5718 POM_5V_GPU 2935/2794 POM_5V_CPU 124/146
