RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,9%@102,0%@102,3%@102] EMC_FREQ 15%@1600 GR3D_FREQ 70%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.5C POM_5V_IN 5976/5976 POM_5V_GPU 3621/3621 POM_5V_CPU 164/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,4%@204,1%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 6358/6167 POM_5V_GPU 3973/3797 POM_5V_CPU 164/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,1%@102,1%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@30.75C POM_5V_IN 6594/6309 POM_5V_GPU 4212/3935 POM_5V_CPU 163/163
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,3%@102,2%@102,4%@204] EMC_FREQ 30%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@38C thermal@30.75C POM_5V_IN 5316/6061 POM_5V_GPU 2949/3688 POM_5V_CPU 165/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@710,4%@710,1%@710,0%@710] EMC_FREQ 32%@1600 GR3D_FREQ 60%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 5631/5975 POM_5V_GPU 3307/3612 POM_5V_CPU 165/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,7%@102,2%@204,1%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@30.75C POM_5V_IN 6172/6007 POM_5V_GPU 3780/3640 POM_5V_CPU 164/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,3%@204,3%@204,5%@204] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@30.75C POM_5V_IN 6399/6063 POM_5V_GPU 3973/3687 POM_5V_CPU 122/158
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,8%@102,2%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@30.25C POM_5V_IN 6747/6149 POM_5V_GPU 4014/3728 POM_5V_CPU 205/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,3%@102,4%@102,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@30.25C POM_5V_IN 5200/6043 POM_5V_GPU 2944/3641 POM_5V_CPU 165/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [15%@614,7%@614,5%@614,3%@614] EMC_FREQ 36%@1600 GR3D_FREQ 71%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@30.25C POM_5V_IN 5705/6009 POM_5V_GPU 3426/3619 POM_5V_CPU 165/164
RAM 2011/3964MB (lfb 65x4MB) SWAP 324/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,4%@102,4%@102,1%@102] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@40.5C thermal@30C POM_5V_IN 6245/6031 POM_5V_GPU 3856/3641 POM_5V_CPU 164/164
