RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,2%@307,2%@307,1%@307] EMC_FREQ 13%@1600 GR3D_FREQ 74%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@26.25C POM_5V_IN 5233/5233 POM_5V_GPU 2824/2824 POM_5V_CPU 165/165
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,6%@204,2%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27.5C AO@36C thermal@28.25C POM_5V_IN 5124/5178 POM_5V_GPU 2537/2680 POM_5V_CPU 166/165
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,3%@102,2%@102,3%@102] EMC_FREQ 25%@1600 GR3D_FREQ 93%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@28.75C POM_5V_IN 5515/5290 POM_5V_GPU 2861/2740 POM_5V_CPU 124/151
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,6%@204,3%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 62%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28.5C POM_5V_IN 5441/5328 POM_5V_GPU 2944/2791 POM_5V_CPU 166/155
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,15%@204,3%@204,0%@204] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 4916/5245 POM_5V_GPU 2704/2774 POM_5V_CPU 124/149
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,1%@102,2%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 88%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28.25C POM_5V_IN 5557/5297 POM_5V_GPU 2985/2809 POM_5V_CPU 124/144
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,3%@204,3%@204,1%@204] EMC_FREQ 33%@1600 GR3D_FREQ 94%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.25C POM_5V_IN 5233/5288 POM_5V_GPU 3027/2840 POM_5V_CPU 124/141
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,4%@102,3%@204,2%@204] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@28.5C POM_5V_IN 5714/5341 POM_5V_GPU 3224/2888 POM_5V_CPU 165/144
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,3%@102,3%@102,1%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@29C POM_5V_IN 5200/5325 POM_5V_GPU 2458/2840 POM_5V_CPU 124/142
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,1%@102,2%@102,1%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@29C POM_5V_IN 5324/5325 POM_5V_GPU 2699/2826 POM_5V_CPU 165/144
RAM 1906/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,3%@102,4%@102,0%@102] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@29.25C POM_5V_IN 5124/5307 POM_5V_GPU 2620/2807 POM_5V_CPU 124/142
