RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,12%@102,3%@204,2%@204] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@26C AO@34C thermal@26.75C POM_5V_IN 4408/4408 POM_5V_GPU 2183/2183 POM_5V_CPU 126/126
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,19%@204,2%@204,1%@204] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4162/4285 POM_5V_GPU 2305/2244 POM_5V_CPU 125/125
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,3%@307,4%@307,1%@307] EMC_FREQ 16%@1600 GR3D_FREQ 66%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4604/4391 POM_5V_GPU 2674/2387 POM_5V_CPU 167/139
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,2%@102,4%@102,2%@204] EMC_FREQ 18%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4372/4386 POM_5V_GPU 2144/2326 POM_5V_CPU 167/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,12%@204,6%@204,3%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@26.75C POM_5V_IN 4646/4438 POM_5V_GPU 2632/2387 POM_5V_CPU 125/142
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,2%@102,5%@102,1%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4330/4420 POM_5V_GPU 2102/2340 POM_5V_CPU 125/139
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,6%@307,3%@307,2%@307] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4401/4417 POM_5V_GPU 2553/2370 POM_5V_CPU 167/143
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,5%@204,1%@204,2%@307] EMC_FREQ 21%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 4282/4400 POM_5V_GPU 2473/2383 POM_5V_CPU 125/140
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@307,4%@307,2%@307,2%@307] EMC_FREQ 21%@1600 GR3D_FREQ 65%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@25.5C AO@35C thermal@26.75C POM_5V_IN 4443/4405 POM_5V_GPU 2549/2401 POM_5V_CPU 167/143
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,10%@204,17%@204,9%@204] EMC_FREQ 22%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@26C AO@34C thermal@26.75C POM_5V_IN 4806/4445 POM_5V_GPU 2173/2378 POM_5V_CPU 208/150
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,5%@204,27%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 71%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 4847/4481 POM_5V_GPU 2298/2371 POM_5V_CPU 167/151
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,2%@204,7%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@25.5C AO@34.5C thermal@27C POM_5V_IN 4687/4499 POM_5V_GPU 2469/2379 POM_5V_CPU 167/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,8%@204,6%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@25.5C AO@34.5C thermal@27.25C POM_5V_IN 4771/4519 POM_5V_GPU 2553/2392 POM_5V_CPU 167/154
