RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,4%@307,5%@307,1%@307] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@27.75C POM_5V_IN 5944/5944 POM_5V_GPU 3750/3750 POM_5V_CPU 123/123
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@204,2%@204,1%@204] EMC_FREQ 13%@1600 GR3D_FREQ 65%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@30.75C POM_5V_IN 6090/6017 POM_5V_GPU 3985/3867 POM_5V_CPU 123/123
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,7%@102,2%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 6368/6134 POM_5V_GPU 4225/3986 POM_5V_CPU 123/123
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,7%@204,2%@204,1%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29C AO@41.5C thermal@30.25C POM_5V_IN 6481/6220 POM_5V_GPU 4382/4085 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,3%@204,1%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@41.5C thermal@31.25C POM_5V_IN 6594/6295 POM_5V_GPU 4539/4176 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,2%@102,1%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@29C AO@41.5C thermal@30.5C POM_5V_IN 6788/6377 POM_5V_GPU 4654/4255 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,1%@102,1%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41.5C thermal@31.25C POM_5V_IN 6788/6436 POM_5V_GPU 4777/4330 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,8%@204,2%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41C thermal@31.25C POM_5V_IN 6941/6499 POM_5V_GPU 4810/4390 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,0%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@30.75C POM_5V_IN 6645/6515 POM_5V_GPU 4143/4362 POM_5V_CPU 123/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,2%@204,5%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 5903/6454 POM_5V_GPU 3750/4301 POM_5V_CPU 123/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,1%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 97%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.5C POM_5V_IN 6172/6428 POM_5V_GPU 4026/4276 POM_5V_CPU 123/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,0%@204,5%@204] EMC_FREQ 22%@1600 GR3D_FREQ 69%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41C thermal@31.5C POM_5V_IN 6286/6416 POM_5V_GPU 4143/4265 POM_5V_CPU 123/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,2%@204,7%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@31.75C POM_5V_IN 6481/6421 POM_5V_GPU 4382/4274 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,7%@102,1%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6666/6439 POM_5V_GPU 4573/4295 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,8%@204,2%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 6747/6459 POM_5V_GPU 4654/4319 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,6%@204,1%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30C AO@42C thermal@31.75C POM_5V_IN 6859/6484 POM_5V_GPU 4729/4345 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,7%@102,1%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@32C POM_5V_IN 6941/6511 POM_5V_GPU 4851/4374 POM_5V_CPU 122/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,5%@204,3%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@40.5C thermal@32.25C POM_5V_IN 6758/6525 POM_5V_GPU 4341/4373 POM_5V_CPU 123/122
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,2%@102,5%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5861/6490 POM_5V_GPU 3668/4335 POM_5V_CPU 123/122
