Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F128_K1x1_3_K2x2_2_W80,5,10077194,1198533386,ConvNet,80,1858.0,315.0,0.0,9.927966101694915,86.64406779661017,36.66101694915254,25.0,50.0,37.66216216216216,29.375,5335.525423728814,2782.627118644068,206.5254237288136,25.88888888888889,28.08333333333333,30.214285714285715,314796.0,164175.0,12185.0,1761.0,33.8092231750488,93.22827938671207,6.919363997728564
convnet_L5_F128_K1x1_3_K2x2_2_W90,5,12457994,1497316106,ConvNet,90,1870.0,315.0,0.0,9.635593220338984,89.30508474576271,21.42372881355932,25.0,50.0,37.375,28.991071428571427,4942.864406779661,2776.813559322034,186.0677966101695,25.0,28.0,30.029411764705884,291629.0,163832.0,10978.0,1570.0,38.4579443931579,104.3515923566879,6.992356687898089
convnet_L5_F128_K1x1_3_K2x2_2_W100,5,15094794,1829327626,ConvNet,100,1885.0,315.0,0.0,8.36864406779661,92.01694915254237,37.40677966101695,25.0,50.0,38.60344827586207,30.316666666666663,5401.796610169492,2821.2203389830506,174.11864406779662,27.0,29.2,31.357142857142858,318706.0,166452.0,10273.0,1173.0,50.0988578796386,141.90281329923275,8.757885763000852
convnet_L5_F128_K1x1_3_K3x3_2_W60,5,5904394,1318920202,ConvNet,60,1838.949152542373,315.0,0.0,10.97457627118644,84.47457627118644,48.33898305084746,25.0,50.0,37.61111111111112,29.367021276595743,5799.389830508475,2982.491525423729,230.79661016949152,25.83333333333333,28.25,30.366666666666667,342164.0,175967.0,13617.0,2740.0,23.610630035400305,64.22153284671533,4.96970802919708
convnet_L5_F128_K1x1_3_K3x3_2_W70,5,7721994,1769085962,ConvNet,70,1845.6440677966104,315.0,0.0,10.686440677966102,84.57627118644068,48.42372881355932,25.0,50.0,37.86111111111112,29.385416666666668,5809.728813559322,3007.101694915254,206.8135593220339,25.97058823529412,28.176470588235293,30.31428571428572,342774.0,177419.0,12202.0,1997.0,31.614351272583,88.84276414621932,6.110165247871808
convnet_L5_F128_K1x1_3_K3x3_2_W80,5,9795594,2285248522,ConvNet,80,1860.0,315.0,0.0,9.925438596491228,88.01754385964912,48.24561403508772,25.0,50.0,37.785714285714285,29.433333333333334,5785.315789473684,3010.9824561403507,174.2982456140351,25.73529411764705,28.40909090909091,30.357142857142858,329763.0,171626.0,9935.0,1511.0,41.0997867584228,113.58438120450032,6.57511581733951
convnet_L5_F128_K1x1_3_K3x3_2_W90,5,12125194,2867407882,ConvNet,90,1870.4915254237287,315.0,0.0,9.10593220338983,91.96610169491524,49.71186440677966,25.0,50.0,37.7,29.523255813953487,5760.423728813559,2956.2881355932204,177.42372881355934,25.977272727272727,28.58620689655172,30.423076923076923,339865.0,174421.0,10468.0,1305.0,47.095010280609095,133.65593869731802,8.021455938697319
convnet_L5_F128_K1x1_3_K3x3_2_W100,5,14710794,3515564042,ConvNet,100,1886.0,315.0,0.0,8.334745762711865,89.8135593220339,49.898305084745765,25.0,50.0,37.44285714285714,29.193181818181817,5924.118644067797,3070.0677966101694,164.03389830508473,25.384615384615383,28.25,30.20689655172414,349523.0,181134.0,9678.0,1055.0,55.9874534606933,171.6909952606635,9.17345971563981
convnet_L5_F128_K1x1_3_K4x4_2_W50,5,4290570,1491001098,ConvNet,50,1828.0,315.0,0.0,10.73728813559322,83.57627118644068,21.30508474576272,25.0,50.0,39.35294117647059,30.329545454545453,5593.338983050848,3409.593220338983,195.4915254237288,25.951219512195124,29.0,31.869565217391305,330007.0,201166.0,11534.0,2216.0,27.739565372467,90.778880866426,5.2048736462093865
convnet_L5_F128_K1x1_3_K4x4_2_W60,5,5800970,2124467978,ConvNet,60,1833.3559322033896,315.0,0.0,9.91101694915254,82.57627118644068,20.67796610169492,25.0,50.0,38.89473684210526,29.87244897959184,5474.033898305085,3295.5593220338983,171.03389830508473,25.620689655172413,28.666666666666668,31.344827586206897,322968.0,194438.0,10091.0,1531.0,38.3833909034729,127.00065316786414,6.591116917047681
