Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L10_F128_K1x1_5_K2x2_5_W100,0.08887254238128663,1.1920928955078125e-06,0.0006873607635498047
convnet_L10_F128_K1x1_5_K2x2_5_W50,0.029308209419250487,9.5367431640625e-07,0.0006732940673828125
convnet_L10_F128_K1x1_5_K2x2_5_W60,0.03578547954559326,1.430511474609375e-06,0.0006492137908935547
convnet_L10_F128_K1x1_5_K2x2_5_W70,0.048892905712127684,3.337860107421875e-06,0.001074075698852539
convnet_L10_F128_K1x1_5_K2x2_5_W80,0.05729308128356934,2.86102294921875e-06,0.0010082721710205078
convnet_L10_F128_K1x1_5_K2x2_5_W90,0.07564870119094849,4.291534423828125e-06,0.001260995864868164
convnet_L10_F128_K1x1_5_K3x3_5_W100,0.10099743366241455,1.430511474609375e-06,0.0006887912750244141
convnet_L10_F128_K1x1_5_K3x3_5_W30,0.01645028352737427,1.430511474609375e-06,0.0006480216979980469
convnet_L10_F128_K1x1_5_K3x3_5_W40,0.021467175483703613,1.430511474609375e-06,0.0007686614990234375
convnet_L10_F128_K1x1_5_K3x3_5_W50,0.030968008041381837,2.6226043701171875e-06,0.0012750625610351562
convnet_L10_F128_K1x1_5_K3x3_5_W60,0.04314455986022949,2.384185791015625e-06,0.0014841556549072266
convnet_L10_F128_K1x1_5_K3x3_5_W70,0.0537318229675293,1.430511474609375e-06,0.0006778240203857422
convnet_L10_F128_K1x1_5_K3x3_5_W80,0.07154074907302857,1.1920928955078125e-06,0.0006656646728515625
convnet_L10_F128_K1x1_5_K3x3_5_W90,0.0811185622215271,2.6226043701171875e-06,0.0008652210235595703
convnet_L10_F128_K1x1_5_K4x4_5_W100,0.18251015186309816,1.9073486328125e-06,0.0007064342498779297
convnet_L10_F128_K1x1_5_K4x4_5_W30,0.022860443592071532,3.5762786865234375e-06,0.001585245132446289
convnet_L10_F128_K1x1_5_K4x4_5_W40,0.03818881750106812,3.337860107421875e-06,0.001466512680053711
convnet_L10_F128_K1x1_5_K4x4_5_W50,0.05540515661239624,2.384185791015625e-06,0.0014061927795410156
