model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L10_F128_K1x1_5_K2x2_5_W100,convnet_L10_F128_K1x1_5_K2x2_5_W100.trt,657,67.89802813529968,5.491846323013306,4.76837158203125e-07,60.17881894111633,0.09071762630747152
convnet_L10_F128_K1x1_5_K2x2_5_W50,convnet_L10_F128_K1x1_5_K2x2_5_W50.trt,2083,67.45120906829834,5.382970809936523,9.5367431640625e-07,60.143502950668335,0.028651480026904402
convnet_L10_F128_K1x1_5_K2x2_5_W60,convnet_L10_F128_K1x1_5_K2x2_5_W60.trt,1702,67.61472797393799,5.347054958343506,7.152557373046875e-07,60.122517108917236,0.03503242306647654
convnet_L10_F128_K1x1_5_K2x2_5_W70,convnet_L10_F128_K1x1_5_K2x2_5_W70.trt,1204,67.81866192817688,5.497093200683594,4.76837158203125e-07,60.15332818031311,0.04948888090361788
convnet_L10_F128_K1x1_5_K2x2_5_W80,convnet_L10_F128_K1x1_5_K2x2_5_W80.trt,1037,67.50909662246704,5.45417332649231,7.152557373046875e-07,60.12464213371277,0.05733392070781299
convnet_L10_F128_K1x1_5_K2x2_5_W90,convnet_L10_F128_K1x1_5_K2x2_5_W90.trt,791,67.65354585647583,5.501834869384766,7.152557373046875e-07,60.14848852157593,0.07522832066310492
convnet_L10_F128_K1x1_5_K3x3_5_W100,convnet_L10_F128_K1x1_5_K3x3_5_W100.trt,592,67.96481084823608,5.632350444793701,4.76837158203125e-07,60.18821430206299,0.10075776520613078
convnet_L10_F128_K1x1_5_K3x3_5_W30,convnet_L10_F128_K1x1_5_K3x3_5_W30.trt,4091,67.36340236663818,5.320561408996582,9.5367431640625e-07,60.121888399124146,0.014547348430412551
convnet_L10_F128_K1x1_5_K3x3_5_W40,convnet_L10_F128_K1x1_5_K3x3_5_W40.trt,2760,66.53106808662415,4.756912708282471,9.5367431640625e-07,60.12341833114624,0.021598189205363178
convnet_L10_F128_K1x1_5_K3x3_5_W50,convnet_L10_F128_K1x1_5_K3x3_5_W50.trt,1972,67.53657746315002,5.437262535095215,9.5367431640625e-07,60.1226110458374,0.030243603380408296
convnet_L10_F128_K1x1_5_K3x3_5_W60,convnet_L10_F128_K1x1_5_K3x3_5_W60.trt,1392,67.56949210166931,5.340977668762207,7.152557373046875e-07,60.1396906375885,0.04282743184045813
convnet_L10_F128_K1x1_5_K3x3_5_W70,convnet_L10_F128_K1x1_5_K3x3_5_W70.trt,1105,66.85813760757446,4.942805767059326,4.76837158203125e-07,60.144330739974976,0.05382349825552686
convnet_L10_F128_K1x1_5_K3x3_5_W80,convnet_L10_F128_K1x1_5_K3x3_5_W80.trt,842,66.9925184249878,4.954131364822388,7.152557373046875e-07,60.18873620033264,0.07067632080540238
